Table 5-10:  IPCC (2006) Implied Emission Factor Default Values Compared with Calculated Values for CH4 from Manure Management (kg/head/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Animal Type,IPCC Default ,Implied CH4 Emission Factors (kg/head/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CH4 Emission Factors (kg/head/year) a,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Dairy Cattle,48-112,30.2,31.3,31,32.3,35,36.6,37.4,39.5,42,45.3,47,50.4,51.8,53.8,51.7,54.5,54.7,60.7,60,59.9,61.4,62,63.9,63.1,64.2,65.6,66.8,67.2,67.9,67.9
,Beef Cattle,2-Jan,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.6,1.6,1.7,1.7,1.7,1.6,1.6
,Swine,Oct-45,11.5,11.9,10.9,11.7,12.3,12.9,12.8,13.1,14,13.5,13.4,13.5,13.5,13.1,12.7,13.3,12.7,13,11.7,11.2,12.3,12.1,12.4,11.5,11.2,11.8,12.1,11.7,12,12
,Sheep,0.19-0.37,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Goats,0.13-0.26,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,Poultry,0.02-1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,Horses,1.56-3.13,4.3,4.3,4.2,4.1,4.2,4.1,4.1,4.1,4.2,4.1,3.8,3.7,3.5,3.4,3.2,3.1,3,2.8,2.6,2.5,2.6,2.6,2.7,2.5,2.5,2.6,2.6,2.6,2.6,2.6
,American Bison,NA,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,2,1.9,1.9,1.9,1.9,1.9,2,2,2,2,2,2.1,2.1,2.1,2,2,2.1,2.1,2.1,2.1,2.1
,Mules and Asses,0.76-1.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,0.9,0.9,0.9,1,1,0.9,0.9,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: CH4 implied emission factors were not calculated for 2019 due to the simplified emissions estimation approach used to estimate emissions for that year. 2018 values were used for 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Ranges reflect 2006 IPCC Guidelines (Volume 4, Table 10.14) default emission factors for North America across different climate zones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
