Table 5-11:  CH4 Emissions from Rice Cultivation (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Arkansas,5.4,6.3,5.0,6.1,5.9,5.4,5.9,5.2,5.9,6.1,6.3,5.1,5.9,5.0,6.1,7.9,6.3,6.6,5.5,7.0,8.9,6.4,6.8,4.7,5.7,6.4,NE,NE,NE,NE
California,3.3,2.9,2.8,3.1,3.3,3.4,3.5,3.9,3.7,3.7,3.7,3.9,3.9,3.2,3.8,3.4,3.6,3.5,3.6,3.6,3.4,3.4,3.5,3.7,3.9,4.1,NE,NE,NE,NE
Florida,0,0,0,0,0,0,0,0,0,1.6,1.4,+,+,0.1,0.1,+,+,+,+,0,0,0,0,0,0,0,NE,NE,NE,NE
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,0,+,+,0,+,+,0,0,0,0,NE,NE,NE,NE
Kentucky,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,+,+,0,+,0,0,0,0,0,0,0,NE,NE,NE,NE
Louisiana,2.6,2.5,2.9,2.5,2.7,2.4,2.8,2.5,3.1,3.2,3.0,2.8,2.6,2.6,2.6,2.8,2.0,2.4,2.0,2.5,2.7,2.2,2.5,2.2,3.2,2.6,NE,NE,NE,NE
Minnesota,+,+,+,+,+,+,+,+,+,+,0.1,0.1,+,+,+,0.1,0.1,+,+,0.1,0.1,0.1,0.1,+,+,+,NE,NE,NE,NE
Mississippi,1.1,1.0,1.2,1.4,1.2,1.3,0.9,1.0,1.3,0.8,1.3,0.8,1.3,1.0,0.6,1.4,0.8,0.9,1.0,0.5,1.1,0.7,0.9,0.8,0.8,1.0,NE,NE,NE,NE
Missouri,0.6,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.9,1.1,1.1,1.2,0.8,1.0,1.1,1.1,1.2,1.1,1.1,1.4,0.7,0.6,0.8,0.8,0.7,NE,NE,NE,NE
New York,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE
South Carolina,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE
Tennessee,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,+,+,+,+,0,0,+,0,+,0,NE,NE,NE,NE
Texas,3.0,3.0,3.8,3.4,1.9,3.4,3.0,2.2,2.4,1.2,2.0,1.6,2.7,1.9,1.4,1.3,0.8,1.3,0.8,1.4,1.3,1.7,0.8,1.5,0.9,1.4,NE,NE,NE,NE
Total,16.0,16.1,16.1,17.1,15.7,16.5,16.7,15.4,17.1,17.7,19.0,15.4,17.7,14.7,15.6,18.0,14.7,15.9,14.1,16.2,18.9,15.3,15.2,13.8,15.4,16.2,15.8,14.9,15.6,15.1
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated). State-level emissions are not estimated for 2016 through 2019 in this Inventory because data are unavailable. A surrogate data method is used to estimate emissions for these years and are produced only at the national scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
