Table 5-12:  CH4 Emissions from Rice Cultivation (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Arkansas,215.9 ,250.0 ,198.1 ,244.1 ,234.1 ,216.5 ,236.7 ,208.7 ,235.3 ,245.2 ,252.5 ,202.5 ,234.8 ,199.2 ,242.7 ,314.9 ,250.4 ,262.6 ,218.7 ,281.5 ,354.9 ,257.5 ,273.6 ,189.6 ,228.8 ,255.6 ,NE,NE,NE,NE
California,130.8 ,114.3 ,111.6 ,124.3 ,132.9 ,136.0 ,141.3 ,154.6 ,148.4 ,147.1 ,149.1 ,157.4 ,154.1 ,130.0 ,151.4 ,134.5 ,145.9 ,140.9 ,142.2 ,144.3 ,136.2 ,136.0 ,138.5 ,146.9 ,154.6 ,165.6 ,NE,NE,NE,NE
Florida,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,65.3 ,57.2 ,1.7 ,1.7 ,2.5 ,2.2 ,1.3 ,1.6 ,1.6 ,1.6 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE
Illinois,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE
Kentucky,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE
Louisiana,103.0 ,98.9 ,116.9 ,100.5 ,109.5 ,97.1 ,113.0 ,99.6 ,122.7 ,127.6 ,121.5 ,111.0 ,105.2 ,104.7 ,106.0 ,112.7 ,80.2 ,94.1 ,81.8 ,101.1 ,107.1 ,89.7 ,101.2 ,89.6 ,130.0 ,102.9 ,NE,NE,NE,NE
Minnesota,1.0 ,1.0 ,1.0 ,1.3 ,1.4 ,1.3 ,1.4 ,1.4 ,1.6 ,1.7 ,2.4 ,2.4 ,2.0 ,1.6 ,1.5 ,2.3 ,2.3 ,0.4 ,1.2 ,3.6 ,3.2 ,3.3 ,2.7 ,1.2 ,0.3 ,0.3 ,NE,NE,NE,NE
Mississippi,44.9 ,41.8 ,49.4 ,56.4 ,48.2 ,51.3 ,37.4 ,38.3 ,51.9 ,32.9 ,53.1 ,33.5 ,53.8 ,41.5 ,23.5 ,55.3 ,32.0 ,34.5 ,41.3 ,21.1 ,45.3 ,29.9 ,34.6 ,32.1 ,31.4 ,40.0 ,NE,NE,NE,NE
Missouri,22.2 ,17.8 ,17.5 ,21.5 ,25.6 ,21.6 ,18.4 ,24.4 ,25.8 ,37.6 ,43.0 ,44.3 ,47.5 ,31.6 ,41.7 ,45.1 ,43.5 ,49.2 ,43.8 ,42.1 ,56.5 ,26.0 ,25.6 ,32.2 ,33.9 ,26.3 ,NE,NE,NE,NE
New York,0.2 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE
South Carolina,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE
Tennessee,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE
Texas,121.7 ,121.2 ,151.2 ,135.6 ,77.8 ,136.5 ,121.9 ,88.4 ,97.3 ,49.8 ,80.0 ,63.9 ,108.6 ,77.9 ,54.7 ,53.8 ,33.6 ,53.7 ,32.5 ,54.9 ,53.9 ,69.7 ,30.1 ,59.8 ,37.2 ,57.2 ,NE,NE,NE,NE
Total,640 ,645 ,646 ,684 ,629 ,660 ,670 ,615 ,683 ,707 ,759 ,617 ,708 ,589 ,624 ,720 ,590 ,637 ,563 ,649 ,757 ,612 ,606 ,551 ,616 ,648 ,631,596,623,602
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated). State-level emissions are not estimated for 2016 through 2019 in this Inventory because data are unavailable. A surrogate data method is used to estimate emissions for these years and are produced only at the national scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
