"Table 5-13:  Rice Area Harvested (1,000 Hectares)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Crop,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Arkansas,600,675,615,643,669,606,644,621,586,616,627,558,639,610,716,784,647,669,606,818,814,602,626,568,700,679,NE,NE,NE,NE
California,249,218,212,236,247,267,256,273,294,279,272,276,265,226,264,236,249,250,242,256,254,256,255,255,257,280,NE,NE,NE,NE
Florida,0,0,0,0,0,0,0,0,0,157,160,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,NE,NE,NE,NE
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE
Louisiana,381,385,456,372,418,345,401,379,429,468,415,415,392,369,385,402,285,320,279,334,336,281,305,305,375,368,NE,NE,NE,NE
Minnesota,4,4,4,5,8,5,6,6,8,14,10,10,9,7,7,9,8,1,4,11,10,10,8,4,1,1,NE,NE,NE,NE
Mississippi,123,112,149,153,135,137,101,107,117,80,125,94,144,121,78,138,82,88,113,65,106,79,77,92,92,98,NE,NE,NE,NE
Missouri,48,38,42,50,60,53,43,61,59,73,87,98,101,83,100,94,95,99,103,109,112,57,51,78,93,62,NE,NE,NE,NE
New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE
South Carolina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,NE,NE,NE,NE
Texas,302,312,393,340,201,325,285,224,213,117,198,174,247,205,152,118,69,129,84,134,137,125,76,121,112,131,NE,NE,NE,NE
Total,1707,1744,1870,1799,1738,1738,1737,1671,1705,1805,1895,1630,1801,1627,1705,1788,1441,1561,1436,1728,1769,1411,1398,1423,1631,1619,NE,NE,NE,NE
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated). State-level area data are not available for 2016 through 2019 but will be added in a future Inventory with release of new NRI survey data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
