Table 5-18:  Direct N2O Emissions from Agricultural Soils by Land Use Type and N Input Type (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Cropland,185.8,177.3,173.4,191.2,185.9,183.7,191.4,182.5,180.2,182.2,176.9,186.3,186.5,187.6,187.2,183.7,179.1,184.9,182.7,184,185.8,183.8,176.3,197.3,207,199.5,190.8,190.4,195,196.4
,Mineral Soils,182.1,173.5,169.7,187.5,182.1,179.9,187.6,178.8,176.4,178.5,173.1,182.5,182.7,183.9,183.5,180,175.5,181.3,179.1,180.5,182.3,180.3,172.7,193.8,203.5,196.1,187.4,187,191.6,193
,Synthetic Fertilizer,63.1,61.3,61.5,63.8,68.5,62.1,69.2,65.4,61.7,63.5,61.5,61.9,64.8,64.4,64.7,64,61.6,66.4,63,59.7,60.6,65.2,66.7,69.9,70.5,64.8,68.8,68.5,70.1,70.4
,Organic Amendment a,12.6,12.5,12.5,12.7,13,12.9,13.2,13,12.8,12.9,12.9,13.1,13.4,13.3,12.7,13,13.3,13.4,13.3,13.2,12.9,13.3,13.3,13.5,13.5,13.4,14.5,14.3,14.3,14.2
,Residue N b,39.3,38.7,36.3,40.1,38.3,39.8,40,37.4,35.6,41.1,38.5,40.6,40.4,41.5,37.6,39.6,39.2,37.5,38.2,39.7,40.1,40.9,38.8,40,42.4,39,40.1,40.1,41.2,41.6
,Mineralization and Asymbiotic Fixation,67.1,61,59.4,70.8,62.4,65.1,65.1,62.9,66.4,61,60.1,66.9,64.2,64.6,68.5,63.3,61.3,63.9,64.6,67.9,68.7,61,53.9,70.5,77.1,78.9,64,64.1,66.1,66.8
,Drained Organic Soils,3.8,3.8,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.7,3.7,3.8,3.8,3.7,3.7,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4
,Grassland,86.7,86.8,85.8,87.1,83.1,86,88.1,88.8,90,84.6,79.3,85.5,86.2,85.7,94.1,88.9,87.3,89.5,86.9,90.7,92.9,83.4,78.7,94.5,95.8,95.5,90.6,89.9,90.9,94
,Mineral Soils,84.2,84.3,83.3,84.6,80.5,83.5,85.6,86.4,87.5,82.2,76.9,83.1,83.8,83.3,91.7,86.5,84.9,87.1,84.5,88.2,90.4,80.9,76.3,92.1,93.3,93,88.2,87.4,88.4,91.6
,Synthetic Fertilizer,+,+,0.1,0.1,0.1,+,+,+,0.2,+,0.1,0.1,0.1,0.1,0.1,+,+,+,0.1,+,+,+,+,+,+,+,+,+,+,+
,PRP Manure,14.6,14.3,14.6,14.9,15.1,14.9,15.1,14.3,14.8,13.6,13.4,13.8,13.8,13.5,13.8,13.4,13.6,13,12.9,13.3,13.1,12.6,11.9,12.7,12.7,12.8,12.8,12.8,12.9,13.2
,Managed Manure c,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,"Biosolids (i.e., treated Sewage Sludge)",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7
,Residue N d,29.7,29,28.8,29.5,28.1,29.5,30,29.8,29.4,30.2,28,30.2,30.2,30.1,30.2,30.8,30.3,30.6,30.3,30.5,31.5,29.6,29.4,31.2,31.8,30.4,31.5,31.2,31.6,32.8
,Mineralization and Asymbiotic Fixation,39.5,40.7,39.6,39.8,36.9,38.8,40.1,41.9,42.7,37.9,35,38.7,39.3,39.2,47.1,41.7,40.5,43,40.7,43.9,45.2,38.1,34.4,47.6,48.2,49.2,43.2,42.8,43.3,44.9
,Drained Organic Soils,2.5,2.5,2.5,2.5,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,Total,272.5,264,259.3,278.3,268.9,269.7,279.4,271.4,270.1,266.8,256.2,271.9,272.7,273.2,281.3,272.6,266.5,274.4,269.6,274.7,278.7,267.2,255,291.8,302.8,295,281.4,280.3,285.9,290.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Estimates after 2015 are based on a data splicing method (See Methodology section). Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Organic amendment inputs include managed manure, daily spread manure, and commercial organic fertilizers (i.e., dried blood, dried manure, tankage, compost, and other).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Cropland residue N inputs include N in unharvested legumes as well as crop residue N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Managed manure inputs include managed manure and daily spread manure amendments that are applied to grassland soils.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Grassland residue N inputs include N in ungrazed legumes as well as ungrazed grass residue N.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
