Table 5-2:  Emissions from Agriculture (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CO2,"7,084","7,322","6,863","6,422","6,824","7,049","6,955","6,971","7,668","7,475","7,541","7,825","8,549","8,260","7,555","7,854","7,875","8,222","8,638","7,224","8,562","7,970","10,259","8,350","8,124","8,464","7,959","8,131","7,440","7,782"
,Urea Fertilization,"2,417","2,313","2,448","2,637","2,683","2,657","2,587","2,691","2,947","3,016","3,214","3,414","3,572","3,685","3,653","3,504","3,656","3,757","3,613","3,555","3,778","4,097","4,282","4,443","4,515","4,728","4,877","5,051","5,192","5,341"
,Liming,"4,667","5,009","4,415","3,785","4,141","4,392","4,368","4,280","4,721","4,458","4,328","4,411","4,976","4,575","3,902","4,349","4,220","4,464","5,025","3,669","4,784","3,873","5,978","3,907","3,609","3,737","3,081","3,080","2,248","2,442"
,CH4,"8,728","8,811","8,949","9,152","9,331","9,568","9,500","9,385","9,519","9,550","9,533","9,415","9,547","9,451","9,288","9,572","9,549","9,891","9,717","9,725","9,842","9,607","9,587","9,390","9,389","9,656","9,923","10,040","10,226","10,256"
,Enteric Fermentation,"6,588","6,597","6,788","6,884","7,008","7,165","7,117","6,982","6,908","6,914","6,840","6,800","6,811","6,818","6,691","6,772","6,881","6,998","6,972","6,937","6,870","6,773","6,686","6,635","6,583","6,675","6,890","7,032","7,119","7,142"
,Manure Management,"1,485","1,555","1,500","1,569","1,678","1,731","1,696","1,772","1,913","1,914","1,920","1,983","2,012","2,024","1,956","2,062","2,063","2,240","2,166","2,124","2,197","2,207","2,279","2,187","2,172","2,316","2,385","2,395","2,467","2,495"
,Rice Cultivation,640,645,646,684,629,660,670,615,683,707,759,617,708,589,624,720,590,637,563,649,757,612,606,551,616,648,631,596,623,602
,Field Burning of Agricultural Residues,15,14,15,15,15,12,17,16,15,15,14,15,17,20,17,17,15,16,17,16,18,14,16,17,18,18,17,17,17,17
,N2O,"1,108","1,070","1,063","1,141","1,081","1,102","1,132","1,102","1,116","1,090","1,044","1,118","1,111","1,116","1,157","1,107","1,094","1,130","1,118","1,134","1,147","1,105","1,040","1,199","1,232","1,229","1,169","1,162","1,201","1,223"
,Agricultural Soil Management,"1,060","1,022","1,015","1,094","1,031","1,051","1,081","1,050","1,063","1,036",988,"1,063","1,055","1,059","1,102","1,052","1,036","1,072","1,061","1,076","1,089","1,047",981,"1,141","1,173","1,169","1,108","1,099","1,135","1,156"
,Manure Management,47,48,48,47,50,51,51,51,52,54,55,54,56,56,54,55,57,58,57,57,57,58,58,58,58,59,61,63,65,66
,Field Burning of Agricultural Residues,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
