Table 5-31:  Agricultural Crop Production (kt of Product),,,,,,,,,,,,,,,,,,,,,,,,,
Crop,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Maize,"296,065","276,742","337,641","260,576","341,437","268,084","314,704","319,661","333,331","325,327","334,976","332,344","314,625","343,174","386,724","371,256","361,467","413,501","389,602","418,939","398,618","399,531","349,739","436,565","453,524"
Rice,"9,543","10,055","10,529","9,866","10,486","9,811","10,534","9,981","9,702","9,768","10,746","10,530","11,660","10,589","11,780","11,751","10,018","11,239","9,954","12,255","11,976","9,890","10,445","10,894","12,380"
Wheat,"79,805","63,027","76,942","80,830","67,896","64,100","66,048","73,967","75,495","68,219","68,731","63,334","54,071","72,263","67,978","68,077","58,657","66,164","75,156","68,369","68,530","61,082","69,388","67,388","62,602"
Barley,"9,281","9,957","9,442","11,046","8,118","8,042","7,980","7,564","7,771","5,412","6,334","5,734","5,194","5,426","6,318","5,161","4,163","4,498","4,370","5,077","3,942","3,891","5,382","4,931","5,020"
Oats,"5,969","4,309","4,765","4,295","3,843","3,761","2,913","3,384","2,949","2,442","2,783","2,774","2,548","3,030","2,773","2,646","2,495","2,403","2,041","2,439","2,364","1,661","1,743","1,806","2,042"
Other Small Grains,"2,651","2,640","2,537","3,292","3,283","3,012","2,856","3,257","3,914","4,527","4,132","4,536","3,518","4,648","4,330","2,051","1,641","1,684","1,537","1,589","1,803","1,259","1,657","1,902","2,492"
Sorghum,"23,687","21,647","30,074","23,597","21,671","17,462","22,940","20,687","20,146","20,658","16,803","17,305","14,313","15,301","18,425","14,382","13,372","17,121","15,325","15,131","14,052","9,196","11,288","18,680","18,436"
Cotton,"4,605","4,925","4,362","4,247","5,251","4,303","5,268","5,264","4,566","4,820","4,738","5,327","4,832","5,017","5,820","6,106","5,846","5,260","4,145","3,885","4,638","5,200","5,357","3,982","4,396"
Grass Hay,"44,150","43,263","44,208","45,288","50,017","50,796","48,178","47,715","51,520","49,510","51,997","50,326","47,952","52,696","52,535","49,880","47,414","46,785","47,620","48,524","46,761","44,670","40,821","45,588","46,852"
Legume Hay,"90,360","86,890","84,192","87,503","92,157","97,355","89,176","88,664","92,469","95,856","96,572","92,423","89,252","92,586","92,680","91,819","88,997","88,756","88,076","86,952","85,813","82,440","71,435","79,669","82,844"
Peas,51,73,0,111,91,183,92,121,234,246,347,244,259,223,641,660,642,592,486,862,839,206,488,599,447
Sunflower,"1,015","1,668","1,062","1,297","1,889","1,686","1,435","1,456","2,204","1,804","1,682","1,284","1,191","1,217",938,"1,448",985,"1,243","1,342","1,360","1,212",820,"1,274",987,907
Tobacco,"1,154","1,260","1,289","1,178","1,130","1,026","1,171","1,326",983,699,777,680,560,542,527,337,466,572,458,438,470,286,466,481,542
Vegetables,0,0,0,0,0,0,0,0,295,365,"3,297","2,412",816,"1,244","1,368","1,187","1,066","1,060","1,278",866,"1,469","1,201","1,973","1,844","2,107"
Chickpeas,0,0,1,0,0,3,2,2,0,3,4,11,3,1,0,5,6,5,0,0,0,0,1,0,0
Dry Beans,467,496,420,553,922,970,923,"1,008","1,094","1,159","1,041",820,"1,171",841,739,"1,143","1,036","1,248","1,087","1,211","1,461","1,024","1,260","1,110","1,087"
Lentils,0,0,0,4,3,0,0,0,16,22,22,19,34,22,93,101,80,75,72,173,254,46,95,72,76
Peanuts,"1,856","2,360","2,485","1,886","2,355","2,050","2,246","2,110","2,313","2,163","1,815","2,603","1,964","2,707","2,077","2,176","1,776","2,073","2,444","1,839","1,925","1,982","2,854","2,072","2,735"
Soybeans,"56,612","58,341","60,993","56,182","72,316","62,047","67,043","71,733","75,649","73,958","76,015","81,004","79,229","69,058","88,649","86,980","90,891","76,160","83,568","93,629","95,198","87,556","85,843","94,756","110,560"
Potatoes,"18,924","22,692","20,344","19,105","21,219","21,592","21,994","18,495","22,866","21,582","24,072","21,668","21,290","17,527","22,579","20,026","19,135","21,167","19,280","18,582","19,279","19,800","19,776","20,234","19,175"
Sugarbeets,"24,951","27,331","27,536","26,779","30,019","29,300","26,358","24,287","26,276","32,929","33,556","26,901","22,465","27,962","25,930","25,635","28,377","22,229","26,595","24,720","33,336","27,345","32,791","31,890","31,737"
Note: The amount of crop production has not been compiled for 2015 to 2019 so a data splicing method is used to estimate emissions for this portion of the time series. ,,,,,,,,,,,,,,,,,,,,,,,,,
