Table 5-32:  U.S. Average Percent Crop Area Burned by Crop (Percent),,,,,,,,,,,,,,,,,,,,,,,,,
Crop,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Maize,+,+,+,+,+,+,+,+,+,+,+,+,+,1%,1%,+,1%,1%,1%,1%,1%,+,1%,+,+
Rice,8%,7%,6%,6%,6%,6%,12%,6%,6%,7%,5%,7%,11%,12%,6%,9%,6%,4%,6%,5%,11%,4%,6%,4%,7%
Wheat,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Barley,1%,1%,+,1%,+,+,+,+,+,1%,1%,+,+,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
Oats,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%
Other Small Grains,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,1%,1%,1%,1%,1%
Sorghum,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
Cotton,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
Grass Hay,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Legume Hay,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Peas,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,1%,1%,1%,2%,1%,1%,1%
Sunflower,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Tobacco,2%,2%,3%,3%,2%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%
Vegetables,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,3%,6%,2%,8%,3%,3%,2%,4%,3%,4%,3%,3%
Chickpeas,1%,1%,1%,+,+,1%,1%,+,1%,+,+,+,1%,5%,1%,1%,+,+,+,+,+,+,+,+,+
Dry Beans,1%,1%,1%,1%,1%,+,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
Lentils,+,+,+,+,1%,+,+,1%,1%,+,+,+,+,+,+,+,+,+,+,+,+,1%,+,+,+
Peanuts,3%,3%,4%,4%,3%,3%,3%,4%,3%,4%,3%,4%,3%,3%,3%,3%,4%,3%,3%,3%,3%,4%,3%,4%,4%
Soybeans,1%,1%,1%,1%,+,+,1%,1%,1%,1%,+,+,+,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
Potatoes,+,+,+,+,+,+,+,+,+,+,+,+,+,+,1%,+,+,1%,1%,+,+,+,+,+,+
Sugarbeets,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+ Does not exceed 0.5 percent,,,,,,,,,,,,,,,,,,,,,,,,,
