Table 5-4:  CH4 Emissions from Enteric Fermentation (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Beef Cattle,"4,763","4,786","4,999","5,110","5,253","5,419","5,393","5,260","5,191","5,159","5,070","5,037","5,040","5,041","4,956","5,007","5,081","5,123","5,078","5,034","4,984","4,873","4,763","4,722","4,660","4,722","4,919","5,052","5,125","5,162"
Dairy Cattle,"1,574","1,559","1,538","1,526","1,502","1,498","1,481","1,475","1,463","1,503","1,519","1,509","1,512","1,520","1,476","1,503","1,534","1,601","1,623","1,639","1,627","1,645","1,670","1,664","1,679","1,706","1,722","1,730","1,744","1,729"
Swine,81,85,88,87,90,88,84,88,93,90,88,88,90,90,91,92,93,98,101,99,97,98,100,98,96,102,105,108,111,115
Horses,40,38,37,40,44,47,51,54,57,59,61,63,66,67,68,70,71,73,71,70,68,67,65,62,60,57,54,51,48,46
Sheep,102,101,97,92,89,81,76,72,70,65,63,62,60,57,55,55,56,55,54,52,51,49,48,48,47,47,48,47,47,47
Goats,23,23,23,22,22,21,21,20,21,21,22,22,23,24,25,26,27,28,27,26,25,25,24,24,24,24,24,24,24,24
American Bison,4,5,5,6,7,9,10,11,13,14,16,18,19,19,18,17,17,16,16,15,15,14,13,14,14,14,15,15,15,16
Mules and Asses,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Total,"6,588","6,597","6,788","6,884","7,008","7,165","7,117","6,982","6,908","6,914","6,840","6,800","6,811","6,818","6,691","6,772","6,881","6,998","6,972","6,937","6,870","6,773","6,686","6,635","6,583","6,675","6,890","7,032","7,119","7,142"
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
