Table 5-8:  CH4 and N2O Emissions from Manure Management (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CH4 a,1485,1555,1500,1569,1678,1731,1696,1772,1913,1914,1920,1983,2012,2024,1956,2062,2063,2240,2166,2124,2197,2207,2279,2187,2172,2316,2385,2395,2467,2495
,Dairy Cattle,589,607,591,614,655,684,695,725,761,819,853,903,923,963,912,970,990,1105,1106,1112,1124,1144,1188,1167,1190,1233,1259,1270,1292,1281
,Swine,622,674,637,678,740,763,722,767,865,813,790,797,810,781,770,812,789,851,786,740,797,791,821,756,719,808,846,840,888,924
,Poultry,131,131,127,131,131,128,125,128,130,126,127,131,129,130,129,129,131,134,129,128,129,127,128,129,132,136,136,137,141,142
,Beef Cattle,126,126,129,130,135,139,136,134,137,137,131,134,131,131,129,133,137,134,130,130,132,131,128,122,120,126,132,136,135,136
,Horses,9,9,9,9,10,11,11,12,13,13,13,13,13,13,12,12,12,11,10,10,10,10,10,9,8,8,8,7,7,7
,Sheep,7,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,Goats,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,N2O b,47,48,48,47,50,51,51,51,52,54,55,54,56,56,54,55,57,58,57,57,57,58,58,58,58,59,61,63,65,66
,Beef Cattle,20,20,20,19,21,22,21,21,22,24,25,24,25,25,24,24,26,26,25,25,25,26,26,26,26,26,27,29,31,31
,Dairy Cattle,18,18,18,18,18,18,18,18,18,18,18,18,19,19,18,18,19,19,19,19,19,19,20,19,20,20,20,20,21,20
,Swine,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7
,Poultry,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
,Sheep,+,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Horses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,American Bison c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,"Notes: N2O emissions from manure deposited on pasture, range and paddock are included in the Agricultural Soils Management sector. Totals may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"c There are no American bison N2O emissions from managed systems; American bison are maintained entirely on pasture, range, and paddock. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
