Table 6-100: Area of Managed Land in Settlements Remaining Settlements that is not included in the current Inventory (Thousand Hectares),,,,,,,,,,,
,,,,,,,,,,,
,Area (Thousand Hectares),,,,,,,,,,
Year,LCS Managed Land Area (Section 6.1),LCS Area Included in Inventory,LCS Area Not Included in Inventory,,,,,,,,
1990,"2,861","2,861",0,,,,,,,,
1991,"3,238","3,238",0,,,,,,,,
1992,"3,592","3,592",0,,,,,,,,
1993,"4,178","4,107",72,,,,,,,,
1994,"4,777","4,630",147,,,,,,,,
1995,"5,384","5,161",223,,,,,,,,
1996,"5,927","5,658",269,,,,,,,,
1997,"6,520","6,174",346,,,,,,,,
1998,"7,065","6,650",416,,,,,,,,
1999,"7,577","7,116",461,,,,,,,,
2000,"8,095","7,568",528,,,,,,,,
2001,"8,544","7,947",597,,,,,,,,
2002,"8,886","8,284",602,,,,,,,,
2003,"8,941","8,335",606,,,,,,,,
2004,"8,957","8,345",612,,,,,,,,
2005,"8,947","8,341",606,,,,,,,,
2006,"8,959","8,352",607,,,,,,,,
2007,"8,902","8,295",607,,,,,,,,
2008,"8,722","8,111",610,,,,,,,,
2009,"8,541","7,930",611,,,,,,,,
2010,"8,335","7,725",611,,,,,,,,
2011,"8,108","7,498",611,,,,,,,,
2012,"7,918","7,298",620,,,,,,,,
2013,"7,504","6,932",572,,,,,,,,
2014,"7,087","6,586",501,,,,,,,,
2015,"6,589","6,165",424,,,,,,,,
2016,ND,ND,ND,,,,,,,,
2017,ND,ND,ND,,,,,,,,
2018,ND,ND,ND,,,,,,,,
2019,ND,ND,ND,,,,,,,,
"Note: NRI data are not available after 2015, and these years are designated as ND (No data).",,,,,,,,,,,
