"Table 6-13:  Recalculations of Forest Area (1,000 ha) and C Stocks in Forest Land Remaining Forest Land and Harvested Wood Pools (MMT C)",,,,,,,,,,,,
,,,,,,,,,,,,
,Previous Estimate,Current Estimate,Current Estimate,,,,,,,,,
,"Year 2019,","Year 2019,","Year 2020,",,,,,,,,,
,2020 Inventory,2021 Inventory,2021 Inventory,,,,,,,,,
Forest Area (1000 ha),"279,682","279,386","279,289",,,,,,,,,
Carbon Pools (MMT C),,,,,,,,,,,,
Forest,"56,051","55,774","55,933",,,,,,,,,
Aboveground Biomass,"14,989","15,152","15,260",,,,,,,,,
Belowground Biomass,"3,081","3,079","3,103",,,,,,,,,
Dead Wood,"2,777","2,825","2,852",,,,,,,,,
Litter,"3,641","3,638","3,638",,,,,,,,,
Soil (Mineral),"25,638","25,146","25,147",,,,,,,,,
Soil (Organic),"5,926","5,933","5,933",,,,,,,,,
Harvested Wood,"2,669","2,669","2,699",,,,,,,,,
Products in Use,"1,521","1,521","1,532",,,,,,,,,
SWDS,"1,148","1,148","1,167",,,,,,,,,
Total Stock,"58,720","58,443","58,632",,,,,,,,,
,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,
