Table 6-18:  N2O Fluxes from Soils in Forest Land Remaining Forest Land and Land Converted to Forest Land (MMT CO2 Eq. and kt N2O),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Direct N2O Fluxes from Soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMT CO2 Eq.,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
,kt N2O,+,+,+,+,+,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Indirect N2O Fluxes from Soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMT CO2 Eq.,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,kt N2O,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MMT CO2 Eq.,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,kt N2O,+,+,+,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding. The N2O emissions from Land Converted to Forest Land are included with Forest Land Remaining Forest Land because it is not currently possible to separate the activity data by land use conversion category.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq. or 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
