"Table 6-2:  Emissions and Removals from Land Use, Land-Use Change, and Forestry by Gas (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Carbon Stock Change a,-908.7,-906.9,-893.7,-874.9,-892.2,-863.1,-880.4,-863.3,-870.9,-866.5,-865.1,-861.7,-837.9,-854.9,-755.2,-804.8,-859.9,-821.6,-803.8,-771.9,-795.8,-813.3,-829.2,-800.2,-815.5,-791.7,-856.0,-792.0,-824.9,-812.7
Forest Land Remaining Forest Land,-787.6,-781.5,-777.8,-774.5,-769.0,-759.3,-756.3,-754.9,-755.9,-743.0,-717.9,-720.3,-689.5,-712.3,-614.5,-661.5,-713.6,-685.7,-669.1,-645.7,-680.9,-668.3,-676.6,-673.6,-700.3,-671.4,-721.9,-659.7,-698.6,-691.8
Land Converted to Forest Land,-98.2,-98.2,-98.2,-98.2,-98.3,-98.3,-98.3,-98.3,-98.4,-98.4,-98.4,-98.5,-98.5,-98.6,-98.6,-98.7,-98.7,-98.7,-98.8,-98.8,-98.8,-98.9,-98.9,-98.9,-98.9,-98.9,-99.0,-99.1,-99.1,-99.1
Cropland Remaining Cropland,-23.2,-29.0,-25.5,-11.6,-19.3,-12.1,-27.5,-19.1,-9.9,-18.0,-23.7,-27.2,-32.0,-24.1,-26.2,-29.0,-25.2,-29.2,-23.0,-14.0,-18.6,-31.8,-26.4,-15.3,-12.2,-12.8,-22.7,-22.3,-16.6,-14.5
Land Converted to Cropland,51.8,52.6,53.2,52.5,52.8,57.1,56.2,59.3,55.9,56.2,55.4,55.8,53.5,53.3,52.1,52.2,51.1,51.2,53.5,53.7,55.1,52.1,53.4,54.3,55.5,56.1,54.4,54.6,54.3,54.2
Grassland Remaining Grassland,8.3,8.3,9.9,12.6,-0.5,7.6,6.6,10.5,4.3,8.5,-4.2,6.9,5.4,3.5,9.2,10.0,-2.8,11.4,4.3,5.4,19.8,17.0,2.8,15.5,19.3,13.1,9.8,11.3,11.7,14.5
Land Converted to Grassland,-6.2,-6.1,-5.8,-8.8,-14.4,-17.0,-20.7,-22.5,-28.8,-33.0,-38.3,-41.5,-41.7,-41.1,-40.6,-40.1,-41.2,-40.2,-37.2,-36.9,-35.8,-35.3,-34.3,-31.0,-25.5,-23.9,-24.0,-24.4,-24.1,-23.2
Wetlands Remaining Wetlands,-7.4,-7.5,-7.5,-7.5,-7.5,-7.4,-7.6,-7.4,-7.4,-7.3,-7.2,-6.5,-6.6,-6.6,-6.5,-6.5,2.2,2.5,2.5,2.5,2.5,-7.6,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
Land Converted to Wetlands,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.1,-0.1,-0.1,-0.1,-0.1,(+),(+),(+),(+)
Settlements Remaining Settlements,-109.6,-110.2,-108.4,-107.6,-105.9,-105.6,-106.6,-106.9,-108.7,-111.2,-112.5,-113.8,-112.9,-113.8,-115.4,-116.6,-117.2,-118.4,-121.4,-123.1,-123.7,-124.2,-124.1,-125.4,-126.5,-125.9,-123.8,-123.7,-123.6,-124.1
