Table 6-23:  Quantitative Uncertainty Estimates for Non-CO2 Emissions on Drained Organic Forest Soils (MMT CO2 Eq. and Percent) a,,,,,,
,,,,,,
,Source,2019 Emission Estimate,Uncertainty Range Relative to Emission Estimate,,,
,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,Lower,Upper,Lower,Upper
,,,Bound,Bound,Bound,Bound
,CH4,+,+,+,-70%,80%
,N2O ,0.1,+,0.2,-100%,128%
,Total ,0.1,+,0.2,-96%,122%
,,,,,,
,Note: Totals may not sum due to independent rounding.,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,
,"a Range of flux estimates predicted through a combination of sample-based and IPCC defaults for a 95 percent confidence interval, IPCC Approach 1.",,,,,
