"Table 6-3:  Emissions and Removals from Land Use, Land-Use Change, and Forestry by Gas (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Carbon Stock Change (CO2) a,"-908,722","-906,856","-893,674","-874,918","-892,185","-863,124","-880,394","-863,312","-870,904","-866,516","-865,138","-861,744","-837,868","-854,867","-755,201","-804,823","-859,921","-821,628","-803,815","-771,872","-795,818","-813,299","-829,167","-800,185","-815,494","-791,695","-855,998","-792,046","-824,885","-812,695"
Forest Land Remaining Forest Land,"-787,559","-781,532","-777,758","-774,527","-769,001","-759,331","-756,306","-754,947","-755,908","-743,033","-717,909","-720,304","-689,467","-712,304","-614,485","-661,530","-713,612","-685,705","-669,053","-645,675","-680,866","-668,255","-676,617","-673,554","-700,292","-671,413","-721,870","-659,737","-698,628","-691,782"
Land Converted to Forest Land,"-98,170","-98,189","-98,172","-98,221","-98,319","-98,346","-98,338","-98,315","-98,374","-98,387","-98,437","-98,475","-98,522","-98,567","-98,576","-98,673","-98,726","-98,731","-98,757","-98,791","-98,825","-98,858","-98,867","-98,899","-98,890","-98,943","-99,005","-99,075","-99,079","-99,080"
Cropland Remaining Cropland,"-23,176","-29,038","-25,545","-11,609","-19,321","-12,053","-27,469","-19,119","-9,924","-18,019","-23,686","-27,178","-31,954","-24,118","-26,163","-29,002","-25,244","-29,170","-23,013","-13,952","-18,631","-31,754","-26,406","-15,324","-12,247","-12,826","-22,724","-22,290","-16,595","-14,539"
Land Converted to Cropland,"51,765","52,559","53,163","52,454","52,804","57,071","56,151","59,257","55,944","56,170","55,370","55,846","53,500","53,324","52,109","52,160","51,080","51,217","53,497","53,710","55,126","52,147","53,412","54,303","55,474","56,051","54,401","54,563","54,265","54,225"
Grassland Remaining Grassland,"8,315","8,320","9,886","12,554",-506,"7,599","6,578","10,536","4,316","8,527","-4,164","6,869","5,381","3,504","9,171","10,024","-2,847","11,389","4,273","5,354","19,787","17,031","2,802","15,542","19,258","13,149","9,754","11,278","11,686","14,506"
Land Converted to Grassland,"-6,248","-6,114","-5,756","-8,775","-14,410","-17,033","-20,717","-22,469","-28,846","-33,012","-38,281","-41,459","-41,677","-41,148","-40,584","-40,081","-41,178","-40,229","-37,151","-36,902","-35,776","-35,271","-34,340","-30,977","-25,535","-23,927","-24,023","-24,396","-24,149","-23,165"
Wetlands Remaining Wetlands,"-7,399","-7,484","-7,530","-7,471","-7,528","-7,421","-7,581","-7,411","-7,364","-7,294","-7,224","-6,538","-6,618","-6,637","-6,500","-6,549","2,180","2,494","2,480","2,518","2,531","-7,574","-7,953","-7,999","-7,997","-8,021","-8,046","-7,954","-7,991","-8,011"
Land Converted to Wetlands,449,449,449,449,449,449,449,449,449,449,449,442,441,440,440,439,446,446,447,448,448,-93,-84,-75,-66,-56,-47,-38,-28,-19
Settlements Remaining Settlements,"-109,567","-110,242","-108,393","-107,564","-105,942","-105,626","-106,639","-106,950","-108,724","-111,202","-112,539","-113,814","-112,947","-113,840","-115,352","-116,642","-117,162","-118,402","-121,398","-123,129","-123,700","-124,219","-124,087","-125,396","-126,550","-125,854","-123,790","-123,707","-123,638","-124,062"
Land Converted to Settlements,"62,867","64,413","65,981","67,792","69,589","71,568","73,479","75,655","77,527","79,285","81,283","82,867","83,995","84,480","84,739","85,032","85,142","85,064","84,861","84,547","84,088","83,548","82,973","82,194","81,351","80,145","79,350","79,310","79,271","79,233"
CH4,198,206,179,174,203,180,207,170,193,229,249,210,523,415,453,372,266,513,260,347,281,289,525,272,399,663,308,614,552,552
Forest Land Remaining Forest Land: Forest Fires b,35,42,13,8,31,13,27,5,25,50,69,38,353,245,288,198,72,332,88,171,112,96,340,103,222,489,135,440,379,379
Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,149,150,150,150,150,151,151,151,152,152,152,152,152,152,151,151,151,151,151,151,151,151,151,152,152,152,153,153,153,153
Grassland Remaining Grassland: Grassland Fires c,3,3,5,4,11,6,18,3,5,17,17,9,8,8,3,13,32,20,10,15,7,32,23,8,16,13,11,12,12,12
Land Converted to Wetlands: Land Converted to Coastal Wetlands ,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,8,8,8,7,7
Forest Land Remaining Forest Land: Drained Organic Soils d ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
N2O,10,10,10,10,12,11,14,11,11,14,17,14,31,25,29,25,20,34,19,23,16,18,30,16,24,38,18,36,32,32
Forest Land Remaining Forest Land: Forest Fires b,2,2,1,0,2,1,1,0,1,3,4,2,20,14,16,11,4,18,5,9,6,5,19,6,12,27,7,24,21,21
Settlements Remaining Settlements: Settlement Soils e,7,7,8,8,8,8,8,8,7,7,9,9,8,8,11,10,11,11,11,10,7,8,7,7,7,7,8,8,8,8
Forest Land Remaining Forest Land: Forest Soils f,+,+,+,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Grassland Remaining Grassland: Grassland Fires c,+,+,+,+,1,1,2,+,+,2,2,1,1,1,+,1,3,2,1,1,1,3,2,1,1,1,1,1,1,1
Wetlands Remaining Wetlands: Coastal Wetlands Remaining Coastal Wetlands,+,+,1,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+,+,+,+,+,+,+,+,+
Forest Land Remaining Forest Land: Drained Organic Soils d,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Wetlands Remaining Wetlands: Peatlands Remaining Peatlands,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a LULUCF Carbon Stock Change is the net C stock change from the following categories: Forest Land Remaining Forest Land, Land Converted to Forest Land, Cropland Remaining Cropland, Land Converted to Cropland, Grassland Remaining Grassland, Land Converted to Grassland, Wetlands Remaining Wetlands, Land Converted to Wetlands, Settlements Remaining Settlements, and Land Converted to Settlements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Estimates include CH4 and N2O emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Estimates include CH4 and N2O emissions from fires on both Grassland Remaining Grassland and Land Converted to Grassland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d Estimates include CH4 and N2O emissions from drained organic soils on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Estimates include N2O emissions from N fertilizer additions on both Settlements Remaining Settlements and Land Converted to Settlements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Estimates include N2O emissions from N fertilizer additions on both Forest Land Remaining Forest Land and Land Converted to Forest Land. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
