"Table 6-32:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes in Land Converted to Cropland by Land Use Change Category (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Grassland Converted to Cropland,,,,6.9,7.7,8.6,7.8,8.1,12.4,11.5,14.7,11.4,11.7,11.4,11.9,9.4,9,7.6,7.5,6.3,6.2,8.3,8.4,9.8,6.7,7.9,8.6,9.7,10.2,8.5,8.7,8.5,8.4
Mineral Soils,,,,4.1,4.9,5.8,4.7,4.8,8.9,8,11.3,7.6,7.9,7.8,7.4,4.9,4.8,4,4,2.8,2.9,5,5.3,6.7,3.7,4.5,5.2,6.2,6.9,5.2,5.4,5.1,5.1
Organic Soils,,,,2.7,2.8,2.8,3.1,3.2,3.5,3.5,3.4,3.8,3.8,3.6,4.5,4.5,4.1,3.6,3.5,3.5,3.3,3.4,3.1,3.1,3.1,3.4,3.5,3.4,3.3,3.3,3.3,3.3,3.3
Forest Land Converted to Cropland,,,,46.3,46.3,46.4,46.4,46.5,46.5,46.5,46.5,46.6,46.6,46.6,46.6,46.6,46.7,46.7,46.8,46.8,46.9,46.9,47,47,47.1,47.2,47.3,47.4,47.5,47.6,47.6,47.6,47.6
Aboveground Live Biomass,,,,27.3,27.3,27.3,27.3,27.4,27.4,27.4,27.5,27.5,27.5,27.5,27.6,27.6,27.6,27.7,27.7,27.8,27.8,27.8,27.9,27.9,28,28,28.1,28.2,28.2,28.3,28.3,28.3,28.3
Belowground Live Biomass,,,,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6
Dead Wood ,,,,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Litter ,,,,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8,8,8,8,8,8.1,8.1,8.1,8.1,8.1
Mineral Soils,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Organic Soils,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Lands Converted to Cropland,,,,-2.2,-2.2,-2.5,-2.6,-2.8,-2.8,-2.9,-3,-3,-3.1,-3.5,-3.5,-3.3,-3.1,-3,-2.9,-2.9,-2.6,-2.4,-2.3,-2.4,-2.4,-2.3,-2.3,-2,-2,-2.1,-2.2,-2.2,-2.3
Mineral Soils,,,,-2.3,-2.4,-2.5,-2.7,-2.9,-2.9,-3,-3.1,-3.1,-3.2,-3.6,-3.6,-3.4,-3.2,-3.1,-2.9,-2.9,-2.7,-2.5,-2.4,-2.4,-2.4,-2.3,-2.3,-2,-2,-2.1,-2.2,-2.2,-2.3
Organic Soils,,,,0.2,0.2,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
Settlements Converted to Cropland,,,,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Mineral Soils,,,,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Organic Soils,,,,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wetlands Converted to Cropland,,,,0.8,0.8,0.8,1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1,1,0.9,1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.5,0.5,0.5,0.6,0.6,0.6
