Table 6-39:  Area of Managed Land in Grassland Remaining Grassland in Alaska that is not included in the current Inventory (Thousand Hectares),,,,,,,,,
,,,,,,,,,
,Area (Thousand Hectares),,,,,,,,
Year,Managed Land,Inventory,Not Included in Inventory,,,,,,
1990,"327,446","277,406","50,040",,,,,,
1991,"326,959","276,918","50,040",,,,,,
1992,"326,462","276,422","50,040",,,,,,
1993,"324,524","274,484","50,040",,,,,,
1994,"322,853","272,813","50,040",,,,,,
1995,"322,015","271,975","50,040",,,,,,
1996,"321,164","271,123","50,040",,,,,,
1997,"320,299","270,259","50,040",,,,,,
1998,"318,214","268,174","50,040",,,,,,
1999,"317,341","267,301","50,040",,,,,,
2000,"316,242","266,202","50,040",,,,,,
2001,"315,689","265,649","50,040",,,,,,
2002,"315,232","265,192","50,040",,,,,,
2003,"315,442","265,403","50,039",,,,,,
2004,"315,459","265,421","50,038",,,,,,
2005,"315,161","265,123","50,038",,,,,,
2006,"314,841","264,804","50,037",,,,,,
2007,"314,786","264,749","50,036",,,,,,
2008,"314,915","264,878","50,037",,,,,,
2009,"315,137","265,099","50,037",,,,,,
2010,"314,976","264,942","50,035",,,,,,
2011,"314,662","264,627","50,035",,,,,,
2012,"314,466","264,413","50,053",,,,,,
2013,"315,301","265,239","50,062",,,,,,
2014,"316,242","266,180","50,062",,,,,,
2015,"316,287","266,234","50,053",,,,,,
2016,ND,ND,ND,,,,,,
2017,ND,ND,ND,,,,,,
2018,ND,ND,ND,,,,,,
2019,ND,ND,ND,,,,,,
"Note: NRI data are not available after 2015, and these years are designated as ND (No data).",,,,,,,,,
"Additionally, a review of available data on biosolids (i.e., treated sewage sludge) application will be undertaken to improve the distribution of biosolids application on croplands, grasslands and settlements.",,,,,,,,,
