Table 6-42:  Thousands of Grassland Hectares Burned Annually,,,
,,,
Year,Thousand Hectares,,
1990,317,,
1991,331,,
1992,546,,
1993,468,,
1994,"1,142",,
1995,631,,
1996,"1,960",,
1997,306,,
1998,571,,
1999,"1,795",,
2000,"1,814",,
2001,947,,
2002,821,,
2003,804,,
2004,339,,
2005,"1,343",,
2006,"3,432",,
2007,"2,161",,
2008,"1,079",,
2009,"1,551",,
2010,744,,
2011,"3,356",,
2012,"2,464",,
2013,815,,
2014,"1,659",,
2015,NE,,
2016,NE,,
2017,NE,,
2018,NE,,
2019,NE,,
Notes: Burned area was not estimated (NE) for 2015 to 2019 but will be updated in a future Inventory.,,,
