"Table 6-44:  Net CO2 Flux from Soil, Dead Organic Matter and Biomass C Stock Changes for Land Converted to Grassland (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cropland Converted to Grassland,,-18.3,-18.1,-17.5,-17.7,-19,-18.9,-19.7,-19.3,-22.9,-23.7,-25.3,-25.3,-25.5,-24.8,-24.3,-23.5,-24.6,-23.5,-20.4,-20,-18.9,-18,-16.9,-16.1,-14.5,-15.5,-19.9,-20.2,-20.3,-19.8
Mineral Soils,,-18.9,-18.7,-18.3,-18.5,-19.8,-19.8,-20.5,-20.1,-24,-24.7,-26.4,-26.4,-26.8,-26.1,-25.7,-25,-26,-24.9,-21.7,-21.5,-20.3,-19.4,-18.3,-17.5,-15.9,-16.9,-21.3,-21.6,-21.6,-21.1
Organic Soils,,0.6,0.6,0.7,0.8,0.9,0.9,0.8,0.8,1,1,1.1,1.2,1.4,1.3,1.5,1.5,1.4,1.4,1.3,1.5,1.5,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.3,1.3
Forest Land Converted to Grassland,,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.3,16.4,16.3,16.3,16.3,16.3,16.3,16.2,16.1,16,16,15.9,15.7,15.6,15.4,15.3,15.1,14.8,14.9,14.9,14.8
Aboveground Live Biomass,,9.9,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.7,9.7,9.7,9.7,9.6,9.6,9.5,9.5,9.4,9.4,9.3,9.2,9.1,9,8.9,8.8,8.6,8.6,8.6,8.6
Belowground Live Biomass,,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1
Dead Wood,,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
Litter,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.6
Mineral Soils,,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.2,-0.1,-0.2,-0.2
Organic Soils,,+ ,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
