Table 6-47:  Area of Managed Land in Land Converted to Grassland in Alaska that is not included in the current Inventory (Thousand Hectares),,,
,,,
,Area (Thousand Hectares),,
Year,Managed Land,Inventory,Not Included in Inventory
1990,"9,394","9,394",0
1991,"9,485","9,485",0
1992,"9,691","9,691",0
1993,"11,566","11,566",0
1994,"13,378","13,378",0
1995,"13,994","13,994",0
1996,"14,622","14,622",0
1997,"15,162","15,162",0
1998,"19,052","19,052",0
1999,"19,931","19,931",0
2000,"20,859","20,859",0
2001,"21,968","21,968",0
2002,"22,395","22,392",3
2003,"22,015","22,008",7
2004,"22,557","22,547",10
2005,"22,460","22,447",13
2006,"22,718","22,702",16
2007,"22,450","22,428",21
2008,"22,685","22,661",24
2009,"22,608","22,581",26
2010,"22,664","22,634",29
2011,"22,805","22,750",54
2012,"22,643","22,596",47
2013,"21,472","21,439",33
2014,"20,195","20,163",33
2015,"20,242","20,210",33
2016,ND,ND,ND
2017,ND,ND,ND
2018,ND,ND,ND
2019,ND,ND,ND
"Note: NRI data are not available after 2015, and these years are designated as ND (No data).",,,
