Table 6-5:  Land Use and Land-Use Change for the U.S. Managed Land Base for All 50 States (Thousands of Hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land-Use & Land-Use Change Categories a,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 b
Total Forest Land,"281,621","281,641","281,679","281,718","281,749","281,776","281,804","281,830","281,865","281,900","281,946","281,555","281,597","281,622","281,659","281,681","281,701","281,723","281,778","281,825","281,868","281,878","281,904","281,908","281,903","281,945","281,796","281,652","281,546","281,546"
FF,"280,393","280,412","280,407","280,449","280,421","280,414","280,437","280,442","280,436","280,501","280,518","280,113","280,157","280,180","280,224","280,207","280,216","280,236","280,266","280,313","280,369","280,384","280,386","280,394","280,438","280,528","280,529","280,380","280,274","280,274"
CF,169,162,165,161,169,170,168,173,175,174,176,174,171,170,167,167,166,162,158,158,152,152,147,147,143,139,134,135,135,135
GF,919,925,963,992,"1,047","1,077","1,085","1,099","1,133","1,105","1,129","1,142","1,140","1,138","1,133","1,162","1,170","1,175","1,200","1,201","1,195","1,192","1,221","1,214","1,171","1,125",989,992,992,992
WF,77,77,77,41,29,28,27,27,28,28,27,27,27,28,28,28,30,30,30,30,28,28,28,28,26,25,25,25,25,25
SF,12,13,12,18,19,20,20,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,25,26,27,26,26,26,26
OF,50,53,54,56,64,66,67,66,69,70,74,76,78,84,85,93,95,97,100,100,100,98,97,100,99,100,93,93,93,93
Total Cropland,"174,471","174,375","174,195","173,667","173,132","172,635","172,298","171,840","169,456","168,954","168,674","168,071","167,662","167,100","165,962","165,727","165,201","164,954","164,122","163,557","163,248","163,030","162,952","162,770","162,543","161,929","161,933","161,933","161,933","161,933"
CC,"162,163","161,721","161,252","159,449","157,732","157,054","156,409","155,767","152,016","151,135","150,981","150,471","150,175","150,843","150,645","150,304","149,791","150,032","149,723","149,743","149,343","148,844","148,524","149,018","149,492","148,880","148,885","148,884","148,884","148,884"
FC,182,177,172,165,174,167,161,158,150,136,125,114,104,98,83,86,85,78,72,70,66,66,69,65,61,58,58,58,58,58
