Table 6-56:  Emissions and Removals from Coastal Wetlands Remaining Coastal Wetlands (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use/Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Vegetated Coastal Wetlands Remaining Vegetated Coastal Wetlands,-6.5,-6.5,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.2,-6.2,-6.2,-6.2,-6.2,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4,-6.4
Biomass C Flux,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05
Soil C Flux,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.1,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2
Net CH4 Flux,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
Vegetated Coastal Wetlands Converted to Unvegetated Open Water Coastal Wetlands,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.6,2.6,2.6,2.6,2.6,11.7,11.7,11.7,11.7,11.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Biomass C Flux,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Dead Organic Matter C Flux,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Soil C Flux,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,2.5,2.5,2.5,2.5,2.5,11.3,11.3,11.3,11.3,11.3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Unvegetated Open Water Coastal Wetlands Converted to Vegetated Coastal Wetlands,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Biomass C Flux,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
