Table 6-79:  CH4 Emissions from Land Converted to Vegetated Coastal Wetlands (MMT CO2 Eq. and kt CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use/Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cropland Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methane Emissions (MMT CO2 Eq.),+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Methane Emissions (kt CH4),+,+,+,+,+,+,+,+,+,+,+,+,+,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04
Forest Land Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methane Emissions (MMT CO2 Eq.),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16
Methane Emissions (kt CH4),9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.88,9.85,9.83,9.80,9.77,9.74,9.76,9.78,9.80,9.82,9.83,9.46,9.09,8.71,8.34,7.97,7.60,7.22,6.85,6.48
Grassland Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methane Emissions (MMT CO2 Eq.),+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Methane Emissions (kt CH4),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07
Other Land Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methane Emissions (MMT CO2 Eq.),+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Methane Emissions (kt CH4),0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.10,0.12,0.13,0.14,0.15,0.15,0.15,0.16,0.16,0.20,0.23,0.26,0.30,0.33,0.37,0.40,0.43,0.47
Settlements Converted to Vegetated Coastal Wetlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methane Emissions (MMT CO2 Eq.),+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Methane Emissions (kt CH4),0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Total Methane Emissions (MMT CO2 Eq.),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.22,0.21,0.20,0.19,0.18,0.18
Total Methane Emissions (kt CH4),9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.96,9.95,9.94,9.92,9.91,9.93,9.96,9.99,10.01,10.04,9.71,9.38,9.05,8.71,8.38,8.05,7.72,7.39,7.06
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+ Absolute value does not exceed 0.005 MMT CO2 Eq. or 0.005 kt CH4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
