Table 6-86:  Net Flux from Trees in Settlements Remaining Settlements (MMT CO2 Eq. and MMT C) a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,MMT CO2 Eq.,MMT C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,-96.4,-26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,-97.6,-26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,-98.6,-26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,-100.2,-27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,-101.7,-27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,-103.3,-28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,-104.8,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,-106.4,-29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,-107.7,-29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,-109.0,-29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,-110.4,-30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,-111.4,-30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,-112.3,-30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,-114.1,-31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,-115.8,-31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,-117.4,-32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,-118.9,-32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,-120.4,-32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,-121.9,-33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,-123.3,-33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,-124.6,-34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-126.0,-34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,-126.7,-34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,-128.0,-34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,-129.4,-35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,-130.4,-35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,-129.8,-35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,-129.8,-35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,-129.8,-35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,-129.8,-35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Parentheses indicate net sequestration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a These estimates include net CO2 and C flux from trees on Settlements Remaining Settlements and Land Converted to Settlements as it is not possible to report on these separately at this time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-26.28893052,-26.60907027,-26.89888537,-27.32105813,-27.73217082,-28.18227739,-28.59388637,-29.01761734,-29.38499471,-29.73816969,-30.09703039,-30.39021747,-30.63660448,-31.13113211,-31.58825036,-32.01847058,-32.41612122,-32.831083,-33.24339439,-33.63088248,-33.99391419,-34.36077601,-34.55075995,-34.91836845,-35.29529367,-35.56788731,-35.40221113,-35.40515811,-35.40511283,-35.40511283
,,-96.39274524,-97.566591,-98.62924635,-100.1772131,-101.6846264,-103.3350171,-104.84425,-106.3979303,-107.7449806,-109.0399555,-110.3557781,-111.4307974,-112.3342164,-114.1474844,-115.8235847,-117.4010588,-118.8591111,-120.3806377,-121.8924461,-123.3132357,-124.644352,-125.9895121,-126.6861198,-128.0340176,-129.4160768,-130.4155868,-129.8081075,-129.8189131,-129.818747,-129.818747
