"Table 6-87:  Carbon Storage (kg C/m2 tree cover), Gross and Net Sequestration (kg C/m2 tree cover/year) and Tree Cover (percent) among Sampled U.S. Cities (see Nowak et al. 2013)",,,,,,,,,
,,,,,,,,,
,,,Sequestration,,,,,,
City,Storage,SE,Gross,SE,Net ,SE,Ratio a,Tree Cover,SE
"Adrian, MI",12.17,1.88,0.34,0.04,0.13,0.07,0.36,22.1,2.3
"Albuquerque, NM",5.61,0.97,0.24,0.03,0.2,0.03,0.82,13.3,1.5
"Arlington, TX",6.37,0.73,0.29,0.03,0.26,0.03,0.91,22.5,0.3
"Atlanta, GA",6.63,0.54,0.23,0.02,0.18,0.03,0.76,53.9,1.6
"Austin, TX",3.57,0.25,0.17,0.01,0.13,0.01,0.73,30.8,1.1
"Baltimore, MD",10.3,1.24,0.33,0.04,0.2,0.04,0.59,28.5,1
"Boise, ID",7.33,2.16,0.26,0.04,0.16,0.06,0.64,7.8,0.2
"Boston, MA",7.02,0.96,0.23,0.03,0.17,0.02,0.73,28.9,1.5
"Camden, NJ",11.04,6.78,0.32,0.2,0.03,0.1,0.11,16.3,9.9
"Casper, WY",6.97,1.5,0.22,0.04,0.12,0.04,0.54,8.9,1
"Chester, PA",8.83,1.2,0.39,0.04,0.25,0.05,0.64,20.5,1.7
"Chicago (region), IL",9.38,0.59,0.38,0.02,0.26,0.02,0.7,15.5,0.3
"Chicago, IL",6.03,0.64,0.21,0.02,0.15,0.02,0.7,18,1.2
"Corvallis, OR",10.68,1.8,0.22,0.03,0.2,0.03,0.91,32.6,4.1
"El Paso, TX",3.93,0.86,0.32,0.05,0.23,0.05,0.72,5.9,1
"Freehold, NJ",11.5,1.78,0.31,0.05,0.2,0.05,0.64,31.2,3.3
"Gainesville, FL",6.33,0.99,0.22,0.03,0.16,0.03,0.73,50.6,3.1
"Golden, CO",5.88,1.33,0.23,0.05,0.18,0.04,0.79,11.4,1.5
"Grand Rapids, MI",9.36,1.36,0.3,0.04,0.2,0.05,0.65,23.8,2
"Hartford, CT",10.89,1.62,0.33,0.05,0.19,0.05,0.57,26.2,2
"Houston, TX",4.55,0.48,0.31,0.03,0.25,0.03,0.83,18.4,1
Indiana b ,8.8,2.68,0.29,0.08,0.27,0.07,0.92,20.1,3.2
"Jersey City, NJ",4.37,0.88,0.18,0.03,0.13,0.04,0.72,11.5,1.7
Kansas b ,7.42,1.3,0.28,0.05,0.22,0.04,0.78,14,1.6
"Kansas City (region), MO/KS",7.79,0.85,0.39,0.04,0.26,0.04,0.67,20.2,1.7
"Lake Forest Park, WA",12.76,2.63,0.49,0.07,0.42,0.07,0.87,42.4,0.8
"Las Cruces, NM",3.01,0.95,0.31,0.14,0.26,0.14,0.86,2.9,1
"Lincoln, NE",10.64,1.74,0.41,0.06,0.35,0.06,0.86,14.4,1.6
"Los Angeles, CA",4.59,0.51,0.18,0.02,0.11,0.02,0.61,20.6,1.3
"Milwaukee, WI",7.26,1.18,0.26,0.03,0.18,0.03,0.68,21.6,1.6
"Minneapolis, MN",4.41,0.74,0.16,0.02,0.08,0.05,0.52,34.1,1.6
"Moorestown, NJ",9.95,0.93,0.32,0.03,0.24,0.03,0.75,28,1.6
"Morgantown, WV",9.52,1.16,0.3,0.04,0.23,0.03,0.78,39.6,2.2
Nebraska b ,6.67,1.86,0.27,0.07,0.23,0.06,0.84,15,3.6
"New York, NY",6.32,0.75,0.33,0.03,0.25,0.03,0.76,20.9,1.3
North Dakota b ,7.78,2.47,0.28,0.08,0.13,0.08,0.48,2.7,0.6
"Oakland, CA",5.24,0.19,NA,NA,NA,NA,NA,21,0.2
"Oconomowoc, WI",10.34,4.53,0.25,0.1,0.16,0.06,0.65,25,7.9
"Omaha, NE",14.14,2.29,0.51,0.08,0.4,0.07,0.78,14.8,1.6
"Philadelphia, PA",8.65,1.46,0.33,0.05,0.29,0.05,0.86,20.8,1.8
"Phoenix, AZ",3.42,0.5,0.38,0.04,0.35,0.04,0.94,9.9,1.2
"Roanoke, VA",9.2,1.33,0.4,0.06,0.27,0.05,0.67,31.7,3.3
"Sacramento, CA",7.82,1.57,0.38,0.06,0.33,0.06,0.87,13.2,1.7
"San Francisco, CA",9.18,2.25,0.24,0.05,0.22,0.05,0.92,16,2.6
"Scranton, PA",9.24,1.28,0.4,0.05,0.3,0.04,0.74,22,1.9
"Seattle, WA",9.59,0.98,0.67,0.06,0.55,0.05,0.82,27.1,0.4
South Dakota b ,3.14,0.66,0.13,0.03,0.11,0.02,0.87,16.5,2.2
"Syracuse, NY",9.48,1.08,0.3,0.03,0.22,0.04,0.72,26.9,1.3
Tennessee b ,6.47,0.5,0.34,0.02,0.3,0.02,0.89,37.7,0.8
"Washington, DC",8.52,1.04,0.26,0.03,0.21,0.03,0.79,35,2
"Woodbridge, NJ",8.19,0.82,0.29,0.03,0.21,0.03,0.73,29.5,1.7
,,,,,,,,,
SE – Standard Error,,,,,,,,,
NA – Not Available,,,,,,,,,
a Ratio of net to gross sequestration,,,,,,,,,
b Statewide assessment of urban areas,,,,,,,,,
