"Table 6-88:  Estimated Annual C Sequestration (Metric Tons C/Year), Tree Cover (Percent), and Annual C Sequestration per Area of Tree Cover (kg C/m2/ year) for settlement areas in United States by State and the District of Columbia (2019)",,,,,,
,,,,,,
State,Gross Annual Sequestration,Net Annual Sequestration,Tree Cover,Gross Annual Sequestration per Area of Tree Cover,Net Annual Sequestration per Area of Tree Cover,Net: Gross Annual Sequestration Ratio
Alabama,"2,060,001","1,501,070",53.5,0.376,0.274,0.73
Alaska,"111,722","81,409",47.4,0.169,0.123,0.73
Arizona,"172,750","125,878",4.6,0.388,0.283,0.73
Arkansas,"1,266,164","922,622",48.9,0.362,0.264,0.73
California,"2,007,869","1,463,083",16.9,0.426,0.311,0.73
Colorado,"142,719","103,996",8,0.216,0.157,0.73
Connecticut,"618,683","450,818",58.7,0.262,0.191,0.73
Delaware,"97,533","71,070",24.4,0.366,0.267,0.73
DC,"11,995","8,741",25.1,0.366,0.267,0.73
Florida,"4,322,610","3,149,776",40.3,0.52,0.379,0.73
Georgia,"3,411,478","2,485,857",56.3,0.387,0.282,0.73
Hawaii,"285,700","208,182",41.7,0.637,0.464,0.73
Idaho,"59,611","43,437",7.4,0.201,0.146,0.73
Illinois,"662,891","483,032",15.5,0.31,0.226,0.73
Indiana,"472,905","437,275",17.1,0.274,0.254,0.92
Iowa,"177,692","129,480",8.6,0.263,0.191,0.73
Kansas,"290,461","226,027",10.8,0.31,0.241,0.78
Kentucky,"926,269","674,949",36.8,0.313,0.228,0.73
Louisiana,"1,512,145","1,101,861",47,0.435,0.317,0.73
Maine,"394,471","287,441",55.5,0.242,0.176,0.73
Maryland,"818,044","596,088",40.1,0.353,0.257,0.73
Massachusetts,"1,002,723","730,659",57.2,0.278,0.203,0.73
Michigan,"1,343,325","978,847",34.7,0.241,0.175,0.73
Minnesota,"313,364","228,340",13.1,0.251,0.183,0.73
Mississippi,"1,518,448","1,106,454",57.3,0.377,0.275,0.73
Missouri,"850,492","619,732",23.2,0.313,0.228,0.73
Montana,"48,911","35,640",4.9,0.201,0.147,0.73
Nebraska,"98,584","83,192",7.3,0.261,0.22,0.84
Nevada,"41,181","30,008",4.8,0.226,0.165,0.73
New Hampshire,"363,989","265,229",59.3,0.238,0.174,0.73
New Jersey,"904,868","659,355",40.7,0.321,0.234,0.73
New Mexico,"177,561","129,384",10.2,0.288,0.21,0.73
New York,"1,531,415","1,115,903",39.9,0.263,0.192,0.73
North Carolina,"3,064,797","2,233,239",54.1,0.341,0.249,0.73
North Dakota,"18,492","8,787",1.8,0.244,0.116,0.48
Ohio,"1,248,841","909,999",28.2,0.271,0.198,0.73
Oklahoma,"699,044","509,376",22.1,0.364,0.265,0.73
Oregon,"682,468","497,297",39.9,0.265,0.193,0.73
Pennsylvania,"1,794,939","1,307,927",40.2,0.267,0.195,0.73
Rhode Island,"121,940","88,855",50,0.283,0.206,0.73
South Carolina,"1,801,029","1,312,364",53.8,0.37,0.269,0.73
South Dakota,"29,489","25,573",2.9,0.258,0.224,0.87
Tennessee,"1,591,278","1,422,789",41.1,0.332,0.297,0.89
Texas,"4,239,494","3,089,211",28.5,0.403,0.294,0.73
Utah,"118,880","86,625",11.7,0.235,0.172,0.73
Vermont,"176,564","128,658",50.6,0.234,0.17,0.73
Virginia,"1,968,537","1,434,422",52.9,0.321,0.234,0.73
Washington,"1,063,871","775,216",37.6,0.282,0.206,0.73
West Virginia,"699,320","509,577",64.1,0.264,0.192,0.73
Wisconsin,"697,863","508,515",25.9,0.246,0.18,0.73
Wyoming,"29,984","21,849",4.7,0.199,0.145,0.73
Total,"48,065,406","35,405,113",,,,
