Table 6-90:  N2O Emissions from Soils in Settlements Remaining Settlements (MMT CO2 Eq. and kt N2O),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct N2O Emissions from Soils,1.6,1.7,1.9,2.0,2.0,2.0,2.0,2.0,1.7,1.7,2.1,2.1,1.8,2.0,2.5,2.5,2.6,2.6,2.6,2.5,1.8,2.0,1.8,1.9,1.9,1.8,1.9,2.0,2.0,2.0
Synthetic Fertilizers,0.8,0.8,1.1,1.2,1.1,1.1,1.2,1.1,0.8,0.8,1.2,1.2,1.0,1.1,1.7,1.6,1.7,1.7,1.7,1.5,0.9,1.0,0.8,0.9,0.9,0.8,0.9,1.0,1.0,1.1
Biosolids,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Drained Organic Soils,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Indirect N2O Emissions from Soils,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4
Total,2.0,2.0,2.3,2.5,2.4,2.4,2.5,2.4,2.0,2.1,2.6,2.5,2.2,2.4,3.1,3.1,3.2,3.2,3.2,3.0,2.1,2.4,2.1,2.2,2.2,2.2,2.2,2.3,2.4,2.4
kt N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct N2O Emissions from Soils,6,6,6,7,7,7,7,7,6,6,7,7,6,7,9,8,9,9,9,8,6,7,6,6,6,6,6,7,7,7
Synthetic Fertilizers,3,3,4,4,4,4,4,4,3,3,4,4,3,4,6,5,6,6,6,5,3,3,3,3,3,3,3,3,3,4
Biosolids,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Drained Organic Soils,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Indirect N2O Emissions from Soils,1,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
Total,7,7,8,8,8,8,8,8,7,7,9,9,8,8,11,10,11,11,11,10,7,8,7,7,7,7,8,8,8,8
