Table 7-21:  U.S. Industrial Wastewater Characteristics Data (2019),,,,
,,,,
Industry,Wastewater Outflow (m3/ton),Wastewater BOD (g/L),Wastewater COD (kg/m3),COD:BOD Ratio
Pulp and Paper,See Table 7?25,0.3,--,2.5
Meat Processing,5.3,2.8,--,3
Poultry Processing,12.5,1.5,--,3
Fruit/Vegetable Processing,   See Table 7-26,,--,1.5
Ethanol Production – Wet Mill,10a,1.5,--,2
Ethanol Production – Dry Mill,1.25a,3b,--,2
Petroleum Refining,0.8,--,0.45,2.5
Breweries – Craft,3.09,--,17.6,1.67
Breweries – NonCraft,1.94,--,17.6,1.67
a Units are gallons per gallons ethanol produced.,,,,
b Units are COD (g/L).,,,,
"Sources: Pulp and Paper (BOD, COD:BOD) - Malmberg (2018); Meat and Poultry (Outflow, BOD) - EPA (2002); Meat and Poultry (COD:BOD) - EPA (1997a); Fruit/Vegetables (Outflow, BOD) – CAST (1995), EPA (1974), EPA (1975); Fruit/Vegetables (COD:BOD) - EPA (1997a); Ethanol Production – Wet Mill (Outflow) - Donovan (1996), NRBP (2001), Ruocco (2006a); Ethanol Production – Wet Mill (BOD) - White and Johnson (2003); Ethanol Production – Dry Mill (Outflow and COD) - Merrick (1998), Ruocco (2006a); Ethanol Production (Dry and Wet, COD:BOD) - EPA (1997a); Petroleum Refining (Outflow) - ERG (2013b); Petroleum Refining (COD) - Benyahia et al. (2006); Petroleum Refining (COD:BOD) – EPA (1982); Breweries – Craft BIER (2017); ERG (2018b); Breweries – NonCraft ERG (2018b); Brewers Association (2016a); Breweries (Craft and NonCraft; COD and COD:BOD) - Brewers Association (2016b).",,,,
