Table 7-22:  U.S. Industrial Wastewater Treatment Activity Data,,,,,,
,,,,,,
Industry,,% Wastewater Treated On Site,% Treated Anaerobically,% Treated Aerobically,% Treated Aerobically,
,,,,,% Treated in ASBs,% Treated in Other Aerobic
Pulp and Paper ,,60,5.2,75.9,38.5,37.4
Meat Processing,,33,331,33,0,33
Poultry Processing,,25,251,25,0,25
Fruit/Vegetable Processing,,11,0,11,5.5,5.5
Ethanol Production – Wet Mill,,33.3,33.3,0,0,0
Ethanol Production – Dry Mill,,75,75,0,0,0
Petroleum Refining,,62.1,0,62.1,23.6,38.5
Breweries – Craft,,0.5,0.5,0,0,0
Breweries - NonCraft,,100,99,1,0,1
,,,,,,
1 Wastewater is pretreated in anaerobic lagoons prior to aerobic treatment.,,,,,,
"Note: Due to differences in data availability and methodology, zero values in the table are for calculation purposes only and may indicate unavailable data.",,,,,,
Sources: ERG (2008b); ERG (2013a); ERG (2013b); ERG (2021).,,,,,,
