Table 7-40:  Approach 2 Quantitative Uncertainty Estimates for 1990 Emissions from Wastewater Treatment (MMT CO2 Eq. and Percent),,,,,,,,
,,,,,,,,
,Source,Gas,1990 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,,
,,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),,
,,,,Lower,Upper,,Lower,Upper
,,,,Bound,Bound,,Bound,Bound
,Wastewater Treatment,CH4,20.2,14.8,27.5,,-27%,37%
,Domestic,CH4,14.7,10.1,21.6,,-31%,46%
,Industrial,CH4,5.4,3.3,8.4,,-40%,52%
,Wastewater Treatment,N2O,18.7,12.9,60.1,,-31%,221%
,Domestic,N2O,18.3,12,59.3,,-34%,224%
,Industrial,N2O,0.4,0.4,1.3,,2%,218%
,a Range of emission estimates predicted by Monte Carlo Stochastic Simulation for a 95 percent confidence interval.,,,,,,,
