"Table 7-51:  Emissions of NOx, CO, and NMVOC from Waste (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,NOx,0.5,0.9,1.1,4.8,3.8,1.3,2.7,2.7,2.7,2.7,2.1,2.1,1.8,2.0,2.2,2.3,2.1,1.8,1.6,1.5,1.4,1.3,1.5,1.6,1.8,1.6,1.5,1.3,1.3,1.3
,Landfills,0.2,0.3,0.5,0.9,0.8,0.6,1.8,1.8,1.8,2.7,2.1,2.1,1.8,2.0,2.2,2.3,2.1,1.8,1.6,1.5,1.4,1.3,1.5,1.6,1.8,1.6,1.5,1.3,1.3,1.3
,Wastewater Treatment,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Miscellaneous(a),0.2,0.6,0.6,3.9,2.9,0.7,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,CO,1.1,1.1,2.0,2.3,2.5,2.3,5.4,5.4,5.4,13.1,7.8,7.8,6.7,6.7,6.6,6.5,6.3,6.1,5.8,5.4,5.1,4.7,5.9,7.1,8.3,7.4,6.4,5.5,5.5,5.5
,Landfills,1.0,0.8,1.6,1.6,1.8,1.7,5.4,5.4,5.4,12.2,7.3,7.3,6.3,6.2,6.2,6.1,5.9,5.7,5.4,5.1,4.7,4.4,5.5,6.6,7.7,6.9,6.0,5.1,5.1,5.1
,Wastewater Treatment,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.9,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.4
,Miscellaneous(a),0.1,0.2,0.3,0.7,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,NMVOCs,672.7,679.8,686.2,692.6,701.1,730.6,157.8,156.8,160.6,139.8,118.8,122.4,115.3,115.2,114.9,114.4,94.3,74.2,54.0,48.8,43.6,38.4,48.3,58.1,67.9,62.5,57.2,51.8,51.8,51.8
,Wastewater Treatment,57.0,58.3,61.0,62.5,63.8,60.9,60.8,61.6,62.6,59.0,50.6,52.8,49.7,49.7,49.5,49.3,40.6,32.0,23.3,21.0,18.8,16.6,20.8,25.0,29.3,26.9,24.6,22.3,22.3,22.3
,Miscellaneous(a),557.4,561.8,562.5,563.0,564.5,602.0,65.3,63.4,65.3,53.9,45.7,46.4,43.7,43.7,43.6,43.4,35.8,28.1,20.5,18.5,16.5,14.6,18.3,22.0,25.7,23.7,21.7,19.6,19.6,19.6
,Landfills,58.3,59.7,62.6,67.1,72.8,67.6,31.7,31.7,32.7,27.0,22.5,23.2,21.9,21.8,21.8,21.7,17.9,14.1,10.2,9.3,8.3,7.3,9.2,11.0,12.9,11.9,10.8,9.8,9.8,9.8
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Miscellaneous includes TSDFs (Treatment, Storage, and Disposal Facilities under the Resource Conservation and Recovery Act [42 U.S.C. § 6924, SWDA § 3004]) and other waste categories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
