Table 7-7:  CH4 and N2O Emissions from Domestic and Industrial Wastewater Treatment (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,CH4,20.2,20.5,20.9,20.9,21.1,20.9,20.7,20.7,20.8,20.9,20.8,20.5,20.6,20.4,20.2,20.1,20,19.9,19.8,19.4,19.2,19.2,19.2,18.9,18.7,18.8,18.7,18.5,18.4,18.4
,Domestic Treatment,13.5,13.71,13.9,13.87,13.82,13.76,13.61,13.62,13.62,13.64,13.63,13.52,13.41,13.29,13.11,13,12.77,12.58,12.44,12.29,12.03,11.76,11.49,11.21,11.15,11.2,10.9,10.5,10.4,10.3
,Domestic Effluent,1.2,1.25,1.27,1.25,1.22,1.2,1.17,1.17,1.18,1.19,1.2,1.21,1.22,1.23,1.23,1.2,1.24,1.25,1.25,1.25,1.25,1.54,1.82,1.81,1.78,1.8,1.8,1.8,1.8,1.8
,Industrial a Treatment,4.9,4.99,5.15,5.21,5.45,5.36,5.35,5.42,5.45,5.53,5.45,5.34,5.44,5.39,5.36,5.4,5.51,5.61,5.67,5.42,5.47,5.49,5.46,5.42,5.34,5.4,5.6,5.7,5.8,5.9
,Industrial a Effluent,0.5,0.53,0.54,0.54,0.57,0.53,0.53,0.54,0.53,0.53,0.51,0.48,0.48,0.47,0.48,0.5,0.47,0.47,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.4,0.4,0.4,0.4,0.4
,N2O,18.7,19.1,19.6,19.8,20.4,20.5,20.9,20.9,21.5,22.1,22.4,22.2,22.5,22.8,23.1,23,23.5,23.6,23.4,23.3,23.6,23.9,24.7,24.9,25.1,25.4,25.9,26.4,26.1,26.4
,Domestic Treatment,13.6,13.85,14.19,14.42,14.89,15.01,15.36,15.45,15.85,16.39,16.64,16.61,17,17.37,17.76,17.7,18.08,18.17,18.03,18.03,18.34,18.27,18.68,18.89,19.19,19.5,19.9,20.4,20.3,20.6
,Domestic Effluent,4.7,4.83,4.95,4.95,5.03,4.99,5.02,5,5.1,5.23,5.28,5.07,4.99,4.9,4.8,4.8,4.85,4.86,4.8,4.75,4.79,5.07,5.48,5.44,5.4,5.4,5.4,5.4,5.3,5.3
,Industrial b Treatment,0.4,0.36,0.37,0.37,0.39,0.4,0.4,0.41,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.4,0.44,0.45,0.45,0.43,0.44,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5
,Industrial b Effluent,0.1,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,0.1,0.1,0.1
,Total,38.9,39.6,40.5,40.7,41.5,41.4,41.6,41.6,42.3,43,43.2,42.7,43.1,43.2,43.3,43.1,43.5,43.5,43.2,42.7,42.8,43.1,43.9,43.8,43.8,44.2,44.6,44.9,44.5,44.8
,Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a Industrial activity for CH4 includes the pulp and paper manufacturing, meat and poultry processing, fruit and vegetable processing, starch-based ethanol production, petroleum refining, and breweries industries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"b Industrial activity for N2O includes the pulp and paper manufacturing, meat and poultry processing, starch-based ethanol production, and petroleum refining.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
