Table 7-8:  CH4 and N2O Emissions from Domestic and Industrial Wastewater Treatment (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CH4,806 ,819.1,834.3,834.6,842.5,834.4,826.1,829.8,830.8,835.4,831.9,821.9,822.2,815.3,807,803,799.3,796.2,793.1,776,768.3,769.7,768.4,755.3,748.3,753,747,739,737 ,736 
Domestic Treatment,540,548.3,555.9,554.7,552.8,550.5,544.3,544.8,544.8,545.5,545.1,540.7,536.5,531.6,524.4,518,510.6,503,497.4,491.4,481.3,470.4,459.5,448.4,446.1,447,434,421,416,410
Domestic Effluent,49,50,50.9,50,49,47.9,46.6,46.8,47.2,47.6,48,48.5,48.8,49.1,49,49,49.6,49.9,50,49.8,50.2,61.7,72.9,72.3,71.1,71,72,72,72,72
Industrial a Treatment,196,199.7,206.1,208.3,218,214.6,214,216.8,217.8,221.2,218.2,213.4,217.7,215.8,214.5,215,220.3,224.3,226.7,216.7,219,219.5,218.2,216.9,213.5,217,223,228,232,236
Industrial a Effluent,21,21.1,21.4,21.6,22.7,21.4,21.2,21.4,21,21,20.6,19.2,19.2,18.8,19,19,18.8,18.9,18.9,18,17.9,18.1,17.8,17.7,17.6,18,18,18,18,18
N2O,63,64.1,65.7,66.5,68.4,68.7,70,70.3,72,74.3,75.2,74.5,75.5,76.4,77.4,77,78.7,79.1,78.4,78.2,79.4,80.1,82.8,83.4,84.3,85,87,89,88,88
Domestic Treatment,46,46.5,47.6,48.4,50,50.4,51.5,51.8,53.2,55,55.8,55.8,57.1,58.3,59.6,59,60.7,61,60.5,60.5,61.5,61.3,62.7,63.4,64.4,65,67,69,68,69
Domestic Effluent,16,16.2,16.6,16.6,16.9,16.7,16.8,16.8,17.1,17.6,17.7,17,16.8,16.4,16.1,16,16.3,16.3,16.1,15.9,16.1,17,18.4,18.2,18.1,18,18,18,18,18
Industrial b Treatment,1,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2
Industrial b Effluent,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Industrial activity for CH4 includes the pulp and paper manufacturing, meat and poultry processing, fruit and vegetable processing, starch-based ethanol production, petroleum refining, and breweries industries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Industrial activity for N2O includes the pulp and paper manufacturing, meat and poultry processing, starch-based ethanol production, and petroleum refining.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
