Table 9-1:  Revisions to U.S. Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Average Annual Change
,CO2,-14.8,-21,-15.2,-16.1,-18.2,-17.4,-16.3,-17.2,-20,-25.6,12.4,4.4,4.1,19.9,6.4,2.6,0.6,2.6,-16.5,-12.8,-22.3,-25.1,-28.9,-39.8,-38.9,-40.7,-44.2,-45.9,-49.4,-17
,Fossil Fuel Combustion,-8.5,-10.2,-14.7,-13.8,-17.2,-11,-11.6,-14.7,-5.6,-21,23.5,13.9,14.6,30.1,17.3,12.8,13.9,9.4,-2.7,-1.1,-4.7,-5.6,-10.5,-19.4,-17.3,-23.5,-30.9,-37.8,-40.4,-6.4
,Electric Power Sector,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+,+,+,+,+,+,+,+,0.1,+
,Transportation,+,+,+,+,0.3,0.3,0.3,0.3,0.4,0.4,12.9,4.1,3.3,19.6,8.2,2.5,6.5,5.9,-0.5,3.5,1.4,0.7,-0.8,-4.3,-5.5,-6,-5.4,-4.8,-4.1,1.4
,Industrial,-3.2,-0.9,-5.2,-4.2,-5.9,-1.1,-3,-5.6,4.3,-8.9,2.3,3.2,3.1,3.4,2.8,2.8,2.6,0.8,-1.5,-0.7,2.1,1.9,1.4,0.4,1.6,-4,-8.9,-14.9,-19.6,-1.9
,Residential,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.4,0.4,0.4,1,1,1,1,1.1,1,0.4,-0.3,-0.3,-0.1,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.4,-0.4,0.8,0.3
,Commercial,0.1,0.1,0.1,0.1,+,0.1,0.1,+,+,+,0.4,0.4,0.3,0.4,0.4,0.3,+,-0.5,-0.6,-0.4,-0.4,-0.5,-0.4,-0.4,-0.4,-0.8,-0.8,-0.8,-0.8,-0.1
,U.S. Territories,-5.8,-9.9,-10.1,-10.2,-12,-10.6,-9.4,-9.8,-10.7,-12.9,6.8,5.1,6.8,5.5,4.7,6.2,4.4,3.3,+,-3.5,-7.6,-7.5,-10.4,-14.8,-12.7,-12.1,-15.4,-16.8,-16.8,-6.1
,Non-Energy Use of Fuels,-6.8,-11.5,-1.1,-2.7,-1.3,-6.8,-5.2,-3,-14.9,-5,-11.2,-9.8,-11,-10.7,-11.4,-10.6,-13.8,-7.3,-14.1,-12,-17.5,-19.1,-18.8,-21.7,-22.6,-18.6,-13.8,-9.6,-4.8,-10.9
,Natural Gas Systems,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,0.2,0.8,-1.1,-0.1
,Cement Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-1.4,+
,Lime Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,-0.1,+
,Other Process Uses of Carbonates,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.5,+,-2.5,-0.1
,Glass Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+
,Soda Ash Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Carbon Dioxide Consumption,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.5,0.2,0.1,-0.3,+
,Incineration of Waste,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.2,-0.5,0.3,1.1,0.9,0.8,0.6,0.4,0.4,0.3
,Titanium Dioxide Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Aluminum Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,NC,NC,NC,+
,Iron and Steel Production & Metallurgical Coke Production,+,0.3,0.3,+,+,+,+,+,+,+,-0.2,-0.1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Ferroalloy Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Ammonia Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.6,-2.1,-1.4,-0.1
,Urea Consumption for Non-Agricultural Purposes,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,1.3,2.2,0.1
,Phosphoric Acid Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Petrochemical Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-0.1,+
,Carbide Production and Consumption,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Lead Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Zinc Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,-0.1,-0.1,+,+
,Petroleum Systems,0.1,0.1,+,+,+,+,+,+,+,+,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,+,-0.1,-0.2,-1.1,0.5,0.3,-0.1
,Abandoned Oil and Gas Wells,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
,Magnesium Production and Processing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Liming,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-0.9,+
,Urea Fertilization,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.5,0.4,0.5,0.4,0.6,0.6,0.5,0.4,0.4,0.6,0.5,0.7,0.6,0.6,0.8,0.5,0.6,0.5
,International Bunker Fuels a,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+,+,+,+,+,+,+,+,+,+,+,+,+
,"Wood Biomass, Ethanol, and Biodiesel Consumption b",NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,-0.6,-9.9,-9.3,-0.7
,CH4 c,2.5,2.9,2.8,4.7,4.9,2.7,3.2,4.9,5,4.5,4.6,4.2,4.4,4.7,5.3,6.6,6.8,8.2,9.2,9.5,9.8,9.9,11.3,11.9,12,13.1,18.1,18.1,21.5,7.8
,Stationary Combustion,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.1,-0.2,-0.1,+
,Mobile Combustion,-6.5,-6.5,-6.4,-6.3,-6.3,-6.3,-6.2,-6.2,-6.2,-5.9,-6,-6.5,-6.5,-6.6,-6.1,-5.6,-5.4,-4.6,-3.7,-3.2,-2.8,-2.4,-2,-1.7,-1.4,-1,-0.9,-0.8,-0.7,-4.5
,Coal Mining,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+,+,+,+,+,0.2,-0.1,-0.2,+,+,+,+,+,+,+
,Abandoned Underground Coal Mines,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Natural Gas Systems,3.6,3.8,3.6,6,6.5,4.4,4.8,6.6,6.4,5.7,5.7,5.7,5.4,5.8,5.9,6.1,6.2,6.9,7.1,7.1,6.8,6.4,7.2,7.3,7.3,8,11.5,9.5,12.6,6.6
,Petroleum Systems,2.8,2.8,2.6,2,1.6,1.5,1.4,1.4,1.2,1.1,1.1,0.9,0.7,0.9,0.7,0.6,0.6,0.5,0.6,0.5,0.5,0.6,0.8,0.9,0.9,0.9,0.2,0.7,1.1,1.1
,Abandoned Oil and Gas Wells,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2
,Petrochemical Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Carbide Production and Consumption,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Iron and Steel Production & Metallurgical Coke Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Ferroalloy Production,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Enteric Fermentation,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
,Manure Management,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
