"Table 9-2:  Revisions to U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Average Annual Change
,Forest Land Remaining Forest Land,-53.7,-46.6,-50,-45.3,-45.5,-48.4,-41.7,-50.4,-55,-55.5,-52.4,-78.9,-35.8,-144.3,4.5,17.1,-43.1,-33.5,-66.4,-7.5,-55.6,-14,-31.7,-17.1,-81.5,4.8,-64,-12.5,-38.5,-42.8
,Changes in Forest Carbon Stocks a,-53.7,-46.6,-50,-45.3,-45.5,-48.4,-41.7,-50.4,-55,-55.5,-52.4,-78.9,-35.8,-144.2,4.5,17.1,-43.1,-33.3,-66.4,-7.5,-55.6,-14,-31.7,-17.1,-81.5,4.7,-64,-12,-35.4,-42.7
,Non-CO2 Emissions from Forest Fires b,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-0.2,+,+,+,+,+,+,+,+,+,-0.5,-3.1,-0.1
,N2O Emissions from Forest Soils c,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Non-CO2 Emissions from Drained Organic Soils d,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Forest Land,11.3,11.3,11.3,11.3,11.3,11.3,11.4,11.4,11.4,11.4,11.5,11.5,11.5,11.5,11.5,11.5,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.5,11.5,11.5
,Changes in Forest Carbon Stocks a,11.3,11.3,11.3,11.3,11.3,11.3,11.4,11.4,11.4,11.4,11.5,11.5,11.5,11.5,11.5,11.5,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.5,11.5,11.5
,Cropland Remaining Cropland,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+
,Changes in Mineral and Organic Soil Carbon Stocks,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+
,Land Converted to Cropland,-2.3,-2.3,-2.3,-2.2,-2.2,-2.2,-2.1,-2.1,-2,-1.9,-1.9,-1.9,-1.8,-1.8,-1.7,-1.7,-1.6,-1.5,-1.5,-1.4,-1.3,-1.3,-1.2,-1.2,-1.2,-1.1,-1.1,-1.1,-1.1,-1.7
,Changes in all Ecosystem Carbon Stocks f,-2.3,-2.3,-2.3,-2.2,-2.2,-2.2,-2.1,-2.1,-2,-1.9,-1.9,-1.9,-1.8,-1.8,-1.7,-1.7,-1.6,-1.5,-1.5,-1.4,-1.3,-1.3,-1.2,-1.2,-1.2,-1.1,-1.1,-1.1,-1.1,-1.7
,Grassland Remaining Grassland,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,0.2,0.4,0.5,-0.6
,Changes in Mineral and Organic Soil Carbon Stocks,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,0.2,0.4,0.5,-0.6
,Non-CO2 Emissions from Grassland Fires g,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+
,Land Converted to Grassland,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.1,+,-0.1,-0.1,-0.3,-0.4,-0.5,-0.7,-0.8,0.7,0.5,0.5,0.2
,Changes in all Ecosystem Carbon Stocks f,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.1,+,-0.1,-0.1,-0.3,-0.4,-0.5,-0.7,-0.8,0.7,0.5,0.5,0.2
,Wetlands Remaining Wetlands,-3,-3,-3,-3,-3,-3,0.2,0.2,0.2,0.2,0.2,-0.6,-0.6,-0.6,-0.6,-0.6,1.8,1.9,1.9,1.9,1.9,-3.3,-3.4,-3.4,-3.4,-3.4,-3.4,-3.3,-3.3,-1.3
,Changes in Organic Soil Carbon Stocks in Peatlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0.1,0.1,+
,"Changes in Aboveground, Biomass, DOM, and Soil Carbon Stocks in Coastal Wetlands",-3.4,-3.3,-3.3,-3.3,-3.3,-3.3,-0.1,-0.1,-0.1,-0.1,-0.1,-0.8,-0.8,-0.8,-0.9,-0.9,1.5,1.7,1.7,1.7,1.7,-3.5,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.6,-1.6
,CH4 Emissions from Coastal Wetlands Remaining Coastal Wetlands,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
,N2O Emissions from Coastal Wetlands Remaining Coastal Wetlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+,+
,Non-CO2 Emissions from Peatlands Remaining Peatlands,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+
,Land Converted to Wetlands,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6
,"Changes in Aboveground Biomass, DOM, and Soil Carbon Stocks",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,+,+,+,+,+,+,+,+,0.4
,CH4 Emissions from Land Converted to Coastal Wetlands,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Settlements Remaining Settlements,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,0.9,1.9,2.2,2.3,0.3
,Changes in Organic Soil Carbon Stocks,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+
,Changes in Settlement Tree Carbon Stocks,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Changes in Yard Trimming and Food Scrap Carbon Stocks in Landfills,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,0.9,1.9,2.2,2.3,0.3
,N2O Emissions from Settlement Soils h,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
,Land Converted to Settlements,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+
,Changes in all Ecosystem Carbon Stocks f,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,+,+,+,+
,LULUCF Emissions i,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,-0.1,-2.7,0.4
,LULUCF Total Net Flux j,-48,-40.9,-44.2,-39.4,-39.6,-42.4,-32.5,-41,-45.6,-46,-42.9,-70,-26.9,-135.3,13.5,26.1,-31.6,-21.6,-54.7,4.3,-43.8,-8.1,-26,-11.5,-75.9,11.2,-54.3,-2,-25.3,-34.3
,LULUCF Sector Total k,-47.4,-40.4,-43.7,-38.9,-39,-41.9,-31.9,-40.5,-45.1,-45.5,-42.4,-69.5,-26.4,-134.8,14,26.6,-31.1,-21.3,-54.2,4.7,-43.4,-7.6,-25.5,-11,-75.5,11.7,-53.9,-2.1,-27.9,-33.9
,Percent Change,-5.60%,-4.70%,-5.19%,-4.70%,-4.62%,-5.15%,-3.80%,-4.97%,-5.51%,-5.61%,-5.22%,-8.88%,-3.34%,-19.20%,1.87%,3.30%,-3.81%,-2.74%,-7.34%,0.62%,-5.85%,-0.96%,-3.27%,-1.42%,-10.44%,1.50%,-6.80%,-0.30%,-3.60%,-4.30%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NC (No Change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Absolute value does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Includes the net changes to carbon stocks stored in all forest ecosystem pools and harvested wood products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Estimates include emissions from fires on both Forest Land Remaining Forest Land and Land Converted to Forest Land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
