Table ES-4:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Chapter/IPCC Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chapter/IPCC Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Energy,"5,325.60","5,281.60","5,386.90","5,479.00","5,566.60","5,611.80","5,800.30","5,871.30","5,910.40","5,970.00","6,176.60","6,089.50","6,120.70","6,190.20","6,285.30","6,302.30","6,221.00","6,290.20","6,098.30","5,693.60","5,861.70","5,708.30","5,494.20","5,635.30","5,675.50","5,519.80","5,390.90","5,351.00","5,518.10","5,392.30"
,Fossil Fuel Combustion,"4,731.50","4,680.90","4,780.00","4,893.30","4,964.90","5,022.50","5,214.30","5,274.90","5,320.60","5,372.00","5,608.60","5,530.70","5,568.00","5,644.30","5,721.30","5,753.50","5,667.20","5,754.00","5,555.50","5,182.20","5,346.30","5,210.10","5,006.20","5,123.30","5,167.50","5,008.30","4,911.50","4,854.50","4,991.40","4,856.70"
,Natural Gas Systems,219,221.4,219.3,221.7,222.5,211.6,207.6,207.7,199.7,194.2,194.2,195.1,192.6,191,190.8,189.4,193.3,191.1,193.4,183.9,179.2,179,175.6,180.3,177.7,179,177.4,179.9,186.4,194.9
,Non-Energy Use of Fuels,112.8,118.2,124.6,113.5,124,121.4,118.6,129.4,134.5,157.9,129.1,122.7,125.4,119.3,136.8,129.1,127.1,116.1,111.8,94.7,96.9,90.5,90,101.8,97.4,108.5,99.8,113.5,129.7,128.8
,Petroleum Systems,58.6,58.8,57.4,55.5,55,55,55.7,56.4,54.3,51.9,52.3,52.6,51.7,52.9,53.1,51.5,54.8,54.9,56.7,52.5,55.2,59.5,63.5,70.1,74.8,73.9,61.1,64.4,74.5,86.4
,Coal Mining,96.5,93.3,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.2,71.1,66.2,64.6,64.6,61.2,53.8,54.8,52.7,47.4
,Stationary Combustion,33.7,33.7,34.3,34.5,34.8,35,36.1,35.7,35.4,35.6,37.5,36.7,37.8,39.4,40.9,42.2,41.4,42.2,42,39.5,42.6,41.2,37.9,41.4,41.8,39,37.9,36.1,36.8,33.5
,Mobile Combustion,51.1,52.9,55.9,57.8,59.7,61.2,62.4,63.3,63.5,60.4,59.1,56.6,54.5,52.3,50,45.5,44.8,40.1,37.3,35.4,34.4,32.9,30.4,28.5,26.4,24.4,23.4,22.3,21.3,20.3
,Incineration of Waste,8.5,8.4,10,10.3,11.4,11.8,12.5,12.5,11.4,11.5,11.7,12,12.4,12.7,13,13.1,13.1,13.3,12.5,11.9,11.2,10.3,10.9,11.7,11.7,11.8,11.8,11.8,11.9,11.8
,Abandoned Oil and Gas Wells,6.8,6.8,6.9,6.9,7,7,7,7,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.4,7.4,7.2,7.3,6.6
,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9,8.2,8.3,8.8,8,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3,6.4,6.7,6.4,6.2,5.9
,Industrial Processes and Product Use,345.6,326.1,332.1,331.5,343.7,374.7,387.2,392.4,400.8,395.7,394.4,356.1,365.2,351.1,364.8,365.7,374.5,392.6,369.3,320.9,362.5,379.5,367.6,368.1,378.8,375.4,368,367.7,371.3,373.7
,Substitution of Ozone Depleting Substances,0.2,0.5,1.7,5.9,14.7,32.2,44.9,56.9,65.3,74.2,81.7,88.8,94,98.7,102.7,107.3,114,121.6,130,139.7,147.4,150.3,152.6,154.6,158.9,163.6,164.9,164.7,166.1,170.6
,Iron and Steel Production & Metallurgical Coke Production,104.8,95.2,96,91.7,94.5,98.4,96.4,97.6,91.1,89,90.5,79.8,75.8,72.7,72.3,70.1,72.8,74.5,69.9,45.1,58.6,63,57.3,55.2,58.2,47.9,43.6,40.6,42.6,41.3
,Cement Production,33.5,32.7,33,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9,39.4,40.3,39,40.9
,Petrochemical Production,21.8,23.3,23.9,24.9,26.9,28.3,29.4,30.8,31.2,32.6,31.9,27.8,28.9,28.7,30.8,27.5,27.7,28.1,24.8,23.8,27.3,26.4,26.6,26.5,26.4,28.2,28.6,29.2,29.6,31.1
,Ammonia Production,13,13.3,13.7,13.2,14.2,13.5,13.8,14,14.1,12.9,12.2,9.2,10.5,8.8,9.6,9.2,8.8,9.1,8.4,8.4,9.2,8.2,8.9,9.5,9.4,10.6,10.2,11.1,12.2,12.3
,Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14,13.8,14,14.2,13.3,12.6,12.9,13.1,12.1
,Nitric Acid Production,12.1,12.1,12.4,12.6,13.3,13.5,14.1,14.4,14.2,13.7,13.3,10.8,11.7,11,10.9,11.3,11.1,13.2,11.3,9.6,11.5,10.9,10.5,10.7,10.9,11.6,10.1,9.3,9.6,10
,Other Process Uses of Carbonates,6.3,5.7,5.6,5.2,5.6,7.6,8.2,7.8,8.1,8.9,6,6,6.5,5.1,6.9,7.6,8.6,8.6,7.1,8.7,10.7,10.4,9.1,11.5,13,12.2,11,9.9,7.5,7.5
,Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,5.1,4.8,4.6,1.8,4.6,5.1,5,5.9,6.2
,Adipic Acid Production,15.2,14.9,13,13.9,13.5,16.9,16.7,9.4,5.1,4.7,5.3,4.5,4.9,5.5,3.7,7.1,8.6,10.3,2.5,2.7,4.2,10.2,5.5,3.9,5.4,4.3,7,7.4,10.3,5.3
,Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4,4.2,4.5,4.9,4.6,4.6,4.1,4.9
,Electronics Industry,3.6,3.6,3.6,4.5,5,6.3,6.9,7.3,9,9.1,7.7,5.4,5.6,5.3,5.1,4.8,5.3,4.9,4.5,3.3,4.1,5.5,5.1,4.7,4.9,5,5,4.9,5.1,4.6
,Electrical Transmission and Distribution,23.2,22.2,22.1,21.4,20.2,18.6,17,15.6,13.3,13.6,12.7,12,10.8,9.9,9.1,8.4,7,6.3,6.1,5.9,5.7,5.8,4.8,4.6,4.9,3.8,4.1,4.2,3.9,4.2
,N2O from Product Uses,4.2,4.1,3.9,4.4,4.4,4.4,4.4,4.7,4.7,4.7,4.7,4.7,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
