Table ES-7:  U.S. Greenhouse Gas Emissions by Economic Sector with Electricity-Related Emissions Distributed (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economic Sectors,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Industry,"2,313.10","2,274.10","2,334.30","2,313.30","2,352.20","2,360.60","2,408.60","2,424.00","2,408.60","2,358.50","2,364.80","2,261.50","2,228.30","2,231.20","2,280.10","2,234.10","2,239.90","2,227.00","2,152.80","1,902.60","2,033.70","2,020.10","1,979.30","2,034.00","2,015.00","1,964.20","1,894.60","1,902.70","1,958.30","1,947.20"
,Transportation,"1,529.80","1,483.60","1,543.10","1,580.20","1,635.20","1,670.30","1,726.50","1,753.10","1,795.60","1,866.70","1,917.20","1,889.30","1,929.60","1,937.80","1,970.60","1,980.40","1,980.50","1,979.60","1,875.60","1,800.80","1,806.80","1,773.50","1,753.50","1,756.30","1,790.50","1,798.40","1,834.30","1,851.80","1,883.00","1,880.60"
,Commercial,983.4,991.1,985.7,"1,004.20","1,017.90","1,031.70","1,061.30","1,094.50","1,104.70","1,110.40","1,172.00","1,175.90","1,175.70","1,192.20","1,209.90","1,229.80","1,211.60","1,255.70","1,249.50","1,190.30","1,213.30","1,173.50","1,116.10","1,144.60","1,156.60","1,125.70","1,080.80","1,054.50","1,067.80","1,022.30"
,Residential,956,974.3,970.7,"1,023.20","1,013.80","1,027.80","1,090.50","1,079.20","1,082.60","1,104.10","1,167.90","1,158.40","1,185.60","1,215.00","1,212.90","1,247.10","1,184.00","1,237.90","1,225.40","1,159.50","1,215.50","1,158.70","1,049.70","1,111.10","1,131.50","1,053.10",998.9,963.7,"1,035.90",978.3
,Agriculture,635.3,624.6,627.1,656.8,645,658,666.7,657.3,664,655.7,640,659.4,666.3,662,677.5,668,667.4,691.6,675.3,676.4,685.1,667.2,652.8,690.2,701.9,699.7,684.9,685.3,701.1,704.6
,U.S. Territories,25.2,25.8,25.5,26.7,27.8,27.5,27.5,28.3,27.7,30.1,51.8,58.4,58.7,63.3,64.5,63.7,61.1,57.9,45.9,42.4,36.8,34.5,34.5,28.4,29.5,30,26.8,25.4,25.4,25.4
,Total Emissions (Sources),"6,442.70","6,373.60","6,486.30","6,604.30","6,691.80","6,775.90","6,981.20","7,036.50","7,083.30","7,125.40","7,313.60","7,203.00","7,244.30","7,301.40","7,415.50","7,423.00","7,344.50","7,449.60","7,224.60","6,772.00","6,991.10","6,827.40","6,585.90","6,764.70","6,825.00","6,671.10","6,520.30","6,483.30","6,671.40","6,558.30"
,LULUCF Sector Net Total a,-900.8,-898.6,-886.2,-867.5,-883.5,-855.3,-871.1,-855.8,-862.8,-856.6,-854,-852.3,-815.7,-837,-735.1,-788.1,-847.3,-798.8,-791.7,-756.2,-783.9,-800.6,-807,-788.5,-798.5,-763.8,-842.8,-766.1,-801.4,-789.2
,Net Emissions (Sources and Sinks),"5,541.90","5,475.00","5,600.10","5,736.90","5,808.30","5,920.50","6,110.00","6,180.70","6,220.50","6,268.80","6,459.70","6,350.70","6,428.60","6,464.30","6,680.30","6,635.00","6,497.20","6,650.80","6,433.00","6,015.80","6,207.20","6,026.80","5,778.90","5,976.10","6,026.40","5,907.30","5,677.50","5,717.20","5,870.00","5,769.10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes: Emissions from electric power are allocated based on aggregate electricity use in each end-use sector. Totals may not sum due to independent rounding. Parentheses indicate negative values or sequestration. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a The LULUCF Sector Net Total is the net sum of all LULUCF CH4 and N2O emissions to the atmosphere plus net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
