Life Cycle Inventory,,,,,,,,,
Time-Series Life Cycle Inventory from Argonne's GREET Model,,,,,,,,,
,,,,,,,,,
GREET Pathway,Flow Name,Formula,Unit (Numerator),Unit (Denominator),Case,Scope,Year,Reference case,Elec0
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2050,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2049,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2048,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2047,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2046,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2045,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2044,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2043,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2042,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2041,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2040,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2039,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2038,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2037,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2036,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2035,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2034,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2033,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2032,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2031,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2030,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2029,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2028,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2027,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2026,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2025,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2024,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2023,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2022,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2021,,
Stationary Use: U.S. Mix,Carbon dioxide,CO2,g,MMBtu,Reference case,"Electricity, Combustion",2020,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2050,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2049,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2048,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2047,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2046,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2045,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2044,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2043,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2042,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2041,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2040,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2039,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2038,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2037,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2036,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2035,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2034,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2033,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2032,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2031,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2030,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2029,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2028,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2027,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2026,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2025,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2024,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2023,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2022,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2021,,
Stationary Use: U.S. Mix,Methane,CH4,g,MMBtu,Reference case,"Electricity, Combustion",2020,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2050,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2049,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2048,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2047,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2046,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2045,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2044,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2043,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2042,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2041,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2040,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2039,,
Stationary Use: U.S. Mix,Nitrous oxide,N2O,g,MMBtu,Reference case,"Electricity, Combustion",2038,,
