Life Cycle Inventory,,,,,,,,,,
Time-Series Life Cycle Inventory from Argonne's GREET Model,,,,,,,,,,
,,,,,,,,,,
GREET Pathway,Flow Name,Formula,Unit (Numerator),Unit (Denominator),Case,Scope,Year,GREET Default,Zero Elec Comb,Factor
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2020,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2021,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2022,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2023,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2024,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2025,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2026,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2027,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2028,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2029,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2030,6135.910916,5933.152968,0.001778278
Natural Gas as Stationary Fuels,Carbon dioxide,CO2,g,MMBtu,Mitigation,Supply Chain,2031,6135.910916,5933.152968,0.001778278
