Industrial,,,,,,
Greenhouse gas emissions for Industrial Activites,,,,,,
Source:,,,,,,
Sector,Subsector,Mitigation Measure,Activity Level,Unit,Year,Value
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2020,-4237643.286
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2021,-4268324.854
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2022,-4319405.417
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2023,-4350086.985
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2024,-4396109.336
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2025,-4431849.116
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2026,-4482929.68
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2027,-4528952.031
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2028,-4559633.598
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2029,-4610714.162
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2030,-4641395.729
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2031,-4677301.655
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2032,-4697866.797
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2033,-4733772.722
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2034,-4764620.436
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2035,-4790243.79
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2036,-4826149.716
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2037,-4846714.858
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2038,-4877562.571
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2039,-4908244.138
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2040,-4939091.851
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2041,-4939590.288
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2042,-4939922.58
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2043,-4940421.017
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2044,-4940753.308
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2045,-4941251.745
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2046,-4941584.036
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2047,-4942082.473
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2048,-4942580.91
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2049,-4942913.202
Industrial,Iron and Steel,BF-BOF-all,Residual Fuel Oil,GJ,2050,-4943245.493
Industrial,Iron and Steel,BF-BOF-all,Natural Gas,GJ,2020,108784763.8
Industrial,Iron and Steel,BF-BOF-all,Natural Gas,GJ,2021,109572392
Industrial,Iron and Steel,BF-BOF-all,Natural Gas,GJ,2022,110883683.8
Industrial,Iron and Steel,BF-BOF-all,Natural Gas,GJ,2023,111671311.9
Industrial,Iron and Steel,BF-BOF-all,Natural Gas,GJ,2024,112852754.1
