Mapping of LCI and Emissions Factors from GREET to Decarbonization Tool,,,,,,,
Mapping of life cycle inventory and emissions from GREET to Decarbonization Tool metadata conventions.,,,,,,,
,,,,,,,
Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Scope,GREET Tab,GREET Pathway
Residential,-,Space Heating,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Space Cooling,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Water Heating,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Refrigeration,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Cooking,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Clothes Dryers,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Freezers,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Lighting,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Clothes Washers,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Dishwashers,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Televisions and Related Equipment,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Computers and Related Equipment,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Furnace Fans and Boiler Circulation Pumps,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Other Uses,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
Residential,-,Space Heating,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Small Industrial Boiler (10-100 mmBtu/hr input)
Residential,-,Space Cooling,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Stationary Reciprocating Engine
Residential,-,Water Heating,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Small Industrial Boiler (10-100 mmBtu/hr input)
Residential,-,Cooking,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Small Industrial Boiler (10-100 mmBtu/hr input)
Residential,-,Clothes Dryers,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Small Industrial Boiler (10-100 mmBtu/hr input)
Residential,-,Other Uses,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Small Industrial Boiler (10-100 mmBtu/hr input)
Residential,-,Space Heating,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Commercial Boiler
Residential,-,Water Heating,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Commercial Boiler
Residential,-,Other Uses,Distillate Fuel Oil,Not Specified,"Direct, Combustion",EF,Diesel: Commercial Boiler
Residential,-,Space Heating,Propane,Not Specified,"Direct, Combustion",EF,LPG: Commercial Boiler
Residential,-,Water Heating,Propane,Not Specified,"Direct, Combustion",EF,LPG: Commercial Boiler
Residential,-,Cooking,Propane,Not Specified,"Direct, Combustion",EF,LPG: Commercial Boiler
Residential,-,Other Uses,Propane,Not Specified,"Direct, Combustion",EF,LPG: Commercial Boiler
Residential,-,Other Uses,Wood,Not Specified,"Direct, Combustion",EF,Willow: Utility Boiler
Transportation,On-Road,Light Duty Vehicles,Gasoline,Not Specified,"Direct, Combustion",Results,Gasoline Vehicle: Gasoline
Transportation,On-Road,Light Duty Vehicles,E85,Not Specified,"Direct, Combustion",Results,"EtOH FFV: E85, Corn"
Transportation,On-Road,Light Duty Vehicles,Distillate Fuel Oil,Not Specified,"Direct, Combustion",Results,CIDI Vehicle: Conventional and LS Diesel
Transportation,On-Road,Light Duty Vehicles,Liquefied Natural Gas,Not Specified,"Direct, Combustion",Results,"LNGV: Dedicated, NA NG"
Transportation,On-Road,Light Duty Vehicles,Propane,Not Specified,"Direct, Combustion",Results,"LPGV: Dedicated, Crude and NG Mix"
Transportation,On-Road,Light Duty Vehicles,Electricity,Not Specified,"Electricity, Combustion",Results,Electric Vehicle: U.S. Mix
Transportation,On-Road,Light Duty Vehicles,Hydrogen,Not Specified,"Direct, Combustion",Results,"FCV: G.H2, Central Plants, NA NG"
Transportation,On-Road,Commercial Light Trucks,Gasoline,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles: Low-Level EtOH Blend with Gasoline (E10, Corn)"
Transportation,On-Road,Commercial Light Trucks,E85,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles: E85, Corn"
Transportation,On-Road,Commercial Light Trucks,Distillate Fuel Oil,Not Specified,"Direct, Combustion",HDV_WTW,CIDI Heavy-Duty Pick-Up Trucks and Vans: Conventional and LS Diesel
Transportation,On-Road,Commercial Light Trucks,Propane,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles, CNG, NA NG"
Transportation,On-Road,Commercial Light Trucks,Liquefied Natural Gas,Not Specified,"Direct, Combustion",HDV_WTW,"SI Heavy Heavy-Duty Vocational Vehicles, LNG, NA NG"
Transportation,On-Road,Commercial Light Trucks,Electricity,Not Specified,"Electricity, Combustion",HDV_WTW,"Heavy-Duty Pick-Up Trucks and Vans, Electricity: U.S. Mix"
Transportation,On-Road,Commercial Light Trucks,Hydrogen,Not Specified,"Direct, Combustion",HDV_WTW,"Fuel-Cell Heavy-Duty Pick-Up Trucks and Vans: G.H2, Central Plants, NA NG"
Transportation,On-Road,Freight Trucks,Gasoline,Not Specified,"Direct, Combustion",HDV_WTW,"SI Heavy-Duty Pick-Up Trucks and Vans: Low-Level EtOH Blend with Gasoline (E10, Corn)"
Transportation,On-Road,Freight Trucks,Distillate Fuel Oil,Not Specified,"Direct, Combustion",HDV_WTW,CIDI Combination Long-Haul Trucks: Conventional and LS Diesel
Transportation,On-Road,Freight Trucks,Liquefied Natural Gas,Not Specified,"Direct, Combustion",HDV_WTW,"SI Combination Long-Haul Trucks: LNG, NA NG"
Transportation,On-Road,Freight Trucks,Propane,Not Specified,"Direct, Combustion",HDV_WTW,"SI Combination Long-Haul Trucks: CNG, NA NG"
Transportation,On-Road,Freight Trucks,E85,Not Specified,"Direct, Combustion",HDV_WTW,"SI Heavy-Duty Pick-Up Trucks and Vans: E85, Corn"
Transportation,On-Road,Freight Trucks,Electricity,Not Specified,"Electricity, Combustion",HDV_WTW,"Combination Long-Haul Trucks: Electricity, U.S. Mix"
Transportation,On-Road,Freight Trucks,Hydrogen,Not Specified,"Direct, Combustion",HDV_WTW,"Fuel-Cell Combination Short-Haul Trucks: G.H2, Central Plants, NA NG"
Transportation,Rail,Freight Rail,Distillate Fuel Oil,Not Specified,"Direct, Combustion",Rail_WTW,Rail: Diesel
Transportation,Rail,Freight Rail,Residual Fuel Oil,Not Specified,"Direct, Combustion",Rail_WTW,Rail: Diesel
Transportation,Rail,Freight Rail,Compressed Natural Gas,Not Specified,"Direct, Combustion",Rail_WTW,Rail: Natural Gas
Transportation,Rail,Freight Rail,Liquefied Natural Gas,Not Specified,"Direct, Combustion",Rail_WTW,Rail: Natural Gas
Transportation,Marine,Domestic Shipping,Distillate Fuel Oil,Not Specified,"Direct, Combustion",Marine_WTH,MDO (0.5% sulfur)
Transportation,Marine,Domestic Shipping,Residual Fuel Oil,Not Specified,"Direct, Combustion",Marine_WTH,HFO (0.5% sulfur)
Transportation,Marine,Domestic Shipping,Compressed Natural Gas,Not Specified,"Direct, Combustion",Marine_WTH,Liquefied Natural Gas (LNG)
Transportation,Marine,Domestic Shipping,Liquefied Natural Gas,Not Specified,"Direct, Combustion",Marine_WTH,Liquefied Natural Gas (LNG)
Transportation,Marine,International Shipping,Distillate Fuel Oil,Not Specified,"Direct, Combustion",Marine_WTH,MDO (0.5% sulfur)
Transportation,Marine,International Shipping,Residual Fuel Oil,Not Specified,"Direct, Combustion",Marine_WTH,HFO (0.5% sulfur)
Transportation,Marine,International Shipping,Compressed Natural Gas,Not Specified,"Direct, Combustion",Marine_WTH,Liquefied Natural Gas (LNG)
Transportation,Marine,International Shipping,Liquefied Natural Gas,Not Specified,"Direct, Combustion",Marine_WTH,Liquefied Natural Gas (LNG)
Transportation,Aviation,Air Transport,Jet Fuel,Not Specified,"Direct, Combustion",JetFuel_WTP,Petroleum Conv. Jet Fuel
Transportation,Aviation,Air Transport,Aviation Gasoline,Not Specified,"Direct, Combustion",JetFuel_WTP,Petroleum Conv. Jet Fuel
Transportation,Military,-,Jet Fuel,Not Specified,"Direct, Combustion",JetFuel_WTP,Petroleum Conv. Jet Fuel
Transportation,Military,-,Residual Fuel Oil,Not Specified,"Direct, Combustion",Marine_WTH,HFO (0.5% sulfur)
Transportation,Military,-,Diesel,Not Specified,"Direct, Combustion",Results,CIDI Vehicle: Conventional and LS Diesel
Transportation,On-Road,Transit Bus,Gasoline,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles: Low-Level EtOH Blend with Gasoline (E10, Corn)"
Transportation,On-Road,Transit Bus,E85,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles: E85, Corn"
Transportation,On-Road,Transit Bus,Distillate Fuel Oil,Not Specified,"Direct, Combustion",HDV_WTW,CIDI Transit Buses: Conventional and LS Diesel
Transportation,On-Road,Transit Bus,Liquefied Natural Gas,Not Specified,"Direct, Combustion",HDV_WTW,"SI Transit Buses, LNG, NA NG"
Transportation,On-Road,Transit Bus,Propane,Not Specified,"Direct, Combustion",HDV_WTW,"SI Transit Buses, CNG, NA NG"
Transportation,On-Road,Transit Bus,Electricity,Not Specified,"Electricity, Combustion",HDV_WTW,"Transit Buses, Electricity: U.S. Mix"
Transportation,On-Road,Transit Bus,Hydrogen,Not Specified,"Direct, Combustion",HDV_WTW,"Fuel-Cell Transit Buses: G.H2, Central Plants, NA NG"
Transportation,On-Road,Intercity Bus,Gasoline,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles: Low-Level EtOH Blend with Gasoline (E10, Corn)"
Transportation,On-Road,Intercity Bus,E85,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles: E85, Corn"
Transportation,On-Road,Intercity Bus,Distillate Fuel Oil,Not Specified,"Direct, Combustion",HDV_WTW,CIDI Intercity Buses: Conventional and LS Diesel
Transportation,On-Road,Intercity Bus,Liquefied Natural Gas,Not Specified,"Direct, Combustion",HDV_WTW,"SI Intercity Buses, CNG, NA NG"
Transportation,On-Road,Intercity Bus,Propane,Not Specified,"Direct, Combustion",HDV_WTW,"SI Intercity Buses, CNG, NA NG"
Transportation,On-Road,Intercity Bus,Electricity,Not Specified,"Electricity, Combustion",HDV_WTW,"Transit Buses, Electricity: U.S. Mix"
Transportation,On-Road,Intercity Bus,Hydrogen,Not Specified,"Direct, Combustion",HDV_WTW,"Fuel-Cell Transit Buses: G.H2, Central Plants, NA NG"
Transportation,On-Road,School Bus,Gasoline,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles: Low-Level EtOH Blend with Gasoline (E10, Corn)"
Transportation,On-Road,School Bus,E85,Not Specified,"Direct, Combustion",HDV_WTW,"SI Medium Heavy-Duty Vocational Vehicles: E85, Corn"
Transportation,On-Road,School Bus,Distillate Fuel Oil,Not Specified,"Direct, Combustion",HDV_WTW,CIDI School Buses: Conventional and LS Diesel
Transportation,On-Road,School Bus,Liquefied Natural Gas,Not Specified,"Direct, Combustion",HDV_WTW,"SI School Buses, CNG, NA NG"
Transportation,On-Road,School Bus,Propane,Not Specified,"Direct, Combustion",HDV_WTW,"SI School Buses, LPG, Crude and NG Mix"
Transportation,On-Road,School Bus,Electricity,Not Specified,"Electricity, Combustion",HDV_WTW,"Transit Buses, Electricity: U.S. Mix"
Transportation,On-Road,School Bus,Hydrogen,Not Specified,"Direct, Combustion",HDV_WTW,"Fuel-Cell School Buses: G.H2, Central Plants, NA NG"
Transportation,Rail,Passenger,Electricity,Not Specified,"Electricity, Combustion",Rail_WTW,Rail: Electricity
Transportation,Rail,Passenger,Diesel,Not Specified,"Direct, Combustion",Rail_WTW,Rail: Diesel
Transportation,Rail,Passenger,Compressed Natural Gas,Not Specified,"Direct, Combustion",Rail_WTW,Rail: Natural Gas
Transportation,Rail,Passenger,Liquefied Natural Gas,Not Specified,"Direct, Combustion",Rail_WTW,Rail: Natural Gas
Transportation,Marine,Recreational Boats,Gasoline,Not Specified,"Direct, Combustion",Results,Gasoline Vehicle: Gasoline
Transportation,Marine,Recreational Boats,Distillate Fuel Oil,Not Specified,"Direct, Combustion",Marine_WTH,MDO (0.5% sulfur)
Transportation,-,Lubricants,Lubricants,Not Specified,"Direct, Combustion",N/A,Custom: Lubricants
Transportation,-,Pipeline Fuel Natural Gas,Natural Gas,Not Specified,"Direct, Combustion",EF,Natural Gas: Utility/ Industrial Boiler (>100 mmBtu/hr input)
Transportation,-,-,Biodiesel,Not Specified,"Direct, Combustion",Results,CIDI Vehicle: Soybean-based BD100
Transportation,-,-,Ethanol,Conventional,"Direct, Combustion",Results,"EtOH FFV: E100, Corn"
Transportation,-,-,Ethanol,Cellulosic,"Direct, Combustion",Results,"EtOH FFV: E100, Corn Stover"
Commercial,-,Space Heating,Electricity,Not Specified,"Electricity, Combustion",Electric,Stationary Use: U.S. Mix
