New EF correspondence table,,,,,,,,
,,,,,,,,
,,,,,,,,
Sector,Subsector,Energy carrier,Energy carrier type,End Use Application,Scope,GREET Version,GREET Tab,GREET Pathway
Industrial,Iron and Steel Industry,-,-,-,,GREET1_2020,,
Industrial,Nonmanufacturing Sector,Asphalt and Road Oil,-,Construction,,GREET1_2020,,
Transportation,Aviation,Aviation Gasoline,Petroleum,Air Transportation,,GREET1_2020,,
Transportation,Refining Industry,Biofuels Heat and Coproducts,-,-,,GREET1_2020,,
Commercial,-,Biomass,Woody Biomass,Marketed Renewables,,GREET1_2020,,
Residential,-,Biomass,Woody Biomass,Space Heating,,GREET1_2020,,
Commercial,On Road,Compressed Natural Gas,U.S. Average Mix,Commercial Light Trucks,,GREET1_2020,,
Transportation,Rail,Compressed Natural Gas,U.S. Average Mix,Commuter Rail,,GREET1_2020,,
Transportation,Marine,Compressed Natural Gas,U.S. Average Mix,Domestic Shipping,,GREET1_2020,,
Transportation,Rail,Compressed Natural Gas,U.S. Average Mix,Freight Rail,,GREET1_2020,,
Transportation,On Road,Compressed Natural Gas,U.S. Average Mix,Intercity Bus,,GREET1_2020,,
Transportation,Rail,Compressed Natural Gas,U.S. Average Mix,Intercity Rail,,GREET1_2020,,
Transportation,Marine,Compressed Natural Gas,U.S. Average Mix,International Shipping,,GREET1_2020,,
Commercial,On Road,Compressed Natural Gas,U.S. Average Mix,Light-Duty Vehicle,,GREET1_2020,,
Transportation,On Road,Compressed Natural Gas,U.S. Average Mix,School Bus,,GREET1_2020,,
Transportation,On Road,Compressed Natural Gas,U.S. Average Mix,Transit Bus,,GREET1_2020,,
Transportation,On Road,Diesel,Biodiesel,Commercial Light Trucks,,GREET1_2020,,CIDI Vehicle: Soybean-based BD101
Transportation,On Road,Diesel,Biodiesel,Freight Trucks,,GREET1_2020,,CIDI Vehicle: Soybean-based BD102
Transportation,On Road,Diesel,Biodiesel,Intercity Bus,,GREET1_2020,,CIDI Vehicle: Soybean-based BD104
