Mapping of LCI and Emissions Factors from GREET to Decarbonization Tool,,,,,,,,
Mapping of life cycle inventory and emissions from GREET to Decarbonization Tool metadata conventions.,,,,,,,,
,,,,,,,,
Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Scope,GREET Version,GREET Tab,GREET Pathway
Residential,-,Heating,Natural Gas,U.S. Average Mix,Supply Chain,GREET1_2021,NG,Natural Gas as Stationary Fuels
Residential,-,Heating,Propane,-,Supply Chain,GREET1_2021,Petroleum,Propane
Residential,-,Heating,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Residential,-,Heating,Biomass,Woody Biomass,Supply Chain,GREET1_2021,EtOH,Total: Willow Farming and Transportation
Residential,-,Cooling,Natural Gas,U.S. Average Mix,Supply Chain,GREET1_2021,NG,Natural Gas as Stationary Fuels
Residential,-,Water Heating,Natural Gas,U.S. Average Mix,Supply Chain,GREET1_2021,NG,Natural Gas as Stationary Fuels
Residential,-,Water Heating,Propane,-,Supply Chain,GREET1_2021,Petroleum,Propane
Residential,-,Water Heating,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Commercial,-,Heating,Natural Gas,U.S. Average Mix,Supply Chain,GREET1_2021,NG,Natural Gas as Stationary Fuels
Commercial,-,Heating,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Commercial,-,Cooling,Natural Gas,U.S. Average Mix,Supply Chain,GREET1_2021,NG,Natural Gas as Stationary Fuels
Commercial,-,Water Heating,Natural Gas,U.S. Average Mix,Supply Chain,GREET1_2021,NG,Natural Gas as Stationary Fuels
Commercial,-,Water Heating,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,On Road,Commercial Light Trucks,Compressed Natural Gas,U.S. Average Mix,Supply Chain,GREET1_2021,NG,Natural Gas as Stationary Fuels
Transportation,On Road,Commercial Light Trucks,Diesel,Biodiesel,Supply Chain,GREET1_2021,BioOil,Soy Oil-based Biodiesel
Transportation,On Road,Commercial Light Trucks,Diesel,FT-Diesel,Supply Chain,GREET1_2021,MeOH_FTD,Biomass to Fischer-Tropsch Diesel
Transportation,On Road,Commercial Light Trucks,Diesel,Petroleum Distillate,Supply Chain,GREET1_2021,Petroleum,Conv. Diesel
Transportation,On Road,Commercial Light Trucks,E85,"Ethanol, Conventional",Supply Chain,GREET1_2021,EtOH,Corn Ethanol: Combined Dry and Wet Milling Ethanol
