Mapping EIA activity to fuel pool,
,
,
Energy carrier,Fuel Pool
Electricity,Electricity
Natural Gas,Natural Gas
Distillate Fuel Oil,Diesel
Propane,LPG
Wood,Biomass
Gasoline,Gasoline
E85,Gasoline
Liquefied Natural Gas,Natural Gas
Hydrogen,Hydrogen
Residual Fuel Oil,Fuel Oil
Compressed Natural Gas,Natural Gas
Jet Fuel,Jet
Aviation Gasoline,Jet
Diesel,Diesel
Biodiesel,Diesel
Ethanol,Gasoline
Liquefied Petroleum Gas,LPG
Petroleum Coke,Coke
Still Gas,Natural Gas
Coal,Coal
HRJ,Jet
Biomass,Biomass
Motor Gasoline,Gasoline
Other Petroleum,Other Petroleum
Lubricants,Other Petroleum
Steam Coal,Coal
Renewables,Other Renewables
Hydrocarbon Gas Liquid Feedstocks,Other Petroleum
Petrochemical Feedstocks,Other Petroleum
Metallurgical Coal,Coal
Asphalt and Road Oil,Other Petroleum
