filename,table,inventory_sector,chapter,category,description
Table 2-10,Table 2-10,N/A,2.2 Emissions by Economic Sector,N/A,U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq. and Percent of Total in 2019)
2021_ghgi_natural_gas_systems_annex36_tables,N/A,Energy,N/A,Natural Gas Systems,"CO2, CH4, and N2O Emissions from Natural Gas Systems"
2021_ghgi_petroleum_systems_annex35_tables,N/A,Energy,N/A,Petroleum Systems,"CO2, CH4, and N2O Emissions from Petroleum Systems"
Table 3-26,Table 3-26,Energy,3.3 Incineration of Waste,Incineration of Waste,"CO2, CH4, and N2O Emissions from the Incineration of Waste (kt)"
Table 3-31,Table 3-31,Energy,3.4 Coal Mining,Coal Mining,CH4 Emissions from Coal Mining (kt)
Table 3-34,Table 3-34,Energy,3.5 Abandoned Underground Coal Mines,Abandoned Underground Coal Mines,CH4 Emissions from Abandoned Coal Mines (kt)
Table 3-97,Table 3-97,Energy,3.8 Abandoned Oil and Gas Wells,Abandoned Oil and Gas Wells,CH4 Emissions from Abandoned Oil and Gas Wells (kt)
Table 3-99,Table 3-99,Energy,3.8 Abandoned Oil and Gas Wells,Abandoned Oil and Gas Wells,CO2 Emissions from Abandoned Oil and Gas Wells (kt)
Table 4-3,Table 4-3,Industrial Processes,4.1 Cement Production,Cement Production,CO2 Emissions from Cement Production (MMT CO2 Eq. and kt)
Table 4-6,Table 4-6,Industrial Processes,4.2 Lime Production,Lime Production,CO2 Emissions from Lime Production (MMT CO2 Eq. and kt)
Table 4-11,Table 4-11,Industrial Processes,4.3 Glass Production,Glass Production,CO2 Emissions from Glass Production (MMT CO2 Eq. and kt)
Table 4-15,Table 4-15,Industrial Processes,4.4 Other Process Uses of Carbonates,Other Process Uses of Carbonates,CO2 Emissions from Other Process Uses of Carbonates (kt)
Table 4-20,Table 4-20,Industrial Processes,4.5 Ammonia Production,Ammonia Production,CO2 Emissions from Ammonia Production (kt)
