Sector,EIA Subsector,VISION Category,End-Use Application,Powertrain,Energy Carrier,Energy Carrier Type,Sector: USDT,Subsector: USDT,End Use Application: USDT,Energy carrier: USDT,Energy carrier type: USDT
Transportation,Light-Duty Vehicle,LDV,Auto,ICEV_Gasoline,-,Gasoline,Transportation,On Road,Light-Duty Vehicle,Motor Gasoline,Petroleum Gasoline
Transportation,Light-Duty Vehicle,LDV,Auto,ICEV_Gasoline,-,Ethanol,Transportation,On Road,Light-Duty Vehicle,Motor Gasoline,"Ethanol, Conventional"
Transportation,Light-Duty Vehicle,LDV,Auto,BEV,-,Electricity,Transportation,On Road,Light-Duty Vehicle,Electricity,U.S. Average Grid Mix
Transportation,Light-Duty Vehicle,LDV,Auto,Ethanol,-,Gasoline,Transportation,On Road,Light-Duty Vehicle,E85,Petroleum Gasoline
Transportation,Light-Duty Vehicle,LDV,Auto,Ethanol,-,Ethanol,Transportation,On Road,Light-Duty Vehicle,E85,"Ethanol, Conventional"
Transportation,Light-Duty Vehicle,LDV,Auto,TDI Diesel ICE,-,Diesel,Transportation,On Road,Light-Duty Vehicle,Diesel,Petroleum Distillate
Transportation,Light-Duty Vehicle,LDV,Auto,TDI Diesel ICE,-,F-T,Transportation,On Road,Light-Duty Vehicle,Diesel,FT-Diesel
Transportation,Light-Duty Vehicle,LDV,Auto,TDI Diesel ICE,-,Bio-D,Transportation,On Road,Light-Duty Vehicle,Diesel,Biodiesel
Transportation,Light-Duty Vehicle,LDV,Auto,CNG,-,CNG,Transportation,On Road,Light-Duty Vehicle,Compressed Natural Gas,U.S. Average Mix
Transportation,Light-Duty Vehicle,LDV,Auto,Hybrid,-,Gasoline,Transportation,On Road,Light-Duty Vehicle,Motor Gasoline,Petroleum Gasoline
Transportation,Light-Duty Vehicle,LDV,Auto,Hybrid,-,Ethanol,Transportation,On Road,Light-Duty Vehicle,Motor Gasoline,"Ethanol, Conventional"
Transportation,Light-Duty Vehicle,LDV,Auto,Hybrid,-,Diesel,Transportation,On Road,Light-Duty Vehicle,Diesel,Petroleum Distillate
Transportation,Light-Duty Vehicle,LDV,Auto,Hybrid,-,F-T,Transportation,On Road,Light-Duty Vehicle,Diesel,FT-Diesel
Transportation,Light-Duty Vehicle,LDV,Auto,Hybrid,-,Bio-D,Transportation,On Road,Light-Duty Vehicle,Diesel,Biodiesel
Transportation,Light-Duty Vehicle,LDV,Auto,Hybrid,-,Electricity,Transportation,On Road,Light-Duty Vehicle,Electricity,U.S. Average Grid Mix
Transportation,Light-Duty Vehicle,LDV,Auto,Fuel Cell,-,Hydrogen,Transportation,On Road,Light-Duty Vehicle,Hydrogen,Natural Gas
Transportation,Light-Duty Vehicle,LDV,LT,ICEV_Gasoline,-,Gasoline,Transportation,On Road,Light-Duty Vehicle,Motor Gasoline,Petroleum Gasoline
Transportation,Light-Duty Vehicle,LDV,LT,ICEV_Gasoline,-,Ethanol,Transportation,On Road,Light-Duty Vehicle,Motor Gasoline,"Ethanol, Conventional"
Transportation,Light-Duty Vehicle,LDV,LT,BEV,-,Electricity,Transportation,On Road,Light-Duty Vehicle,Electricity,U.S. Average Grid Mix
Transportation,Light-Duty Vehicle,LDV,LT,Ethanol,-,Gasoline,Transportation,On Road,Light-Duty Vehicle,E85,Petroleum Gasoline
Transportation,Light-Duty Vehicle,LDV,LT,Ethanol,-,Ethanol,Transportation,On Road,Light-Duty Vehicle,E85,"Ethanol, Conventional"
Transportation,Light-Duty Vehicle,LDV,LT,TDI Diesel ICE,-,Diesel,Transportation,On Road,Light-Duty Vehicle,Diesel,Petroleum Distillate
Transportation,Light-Duty Vehicle,LDV,LT,TDI Diesel ICE,-,F-T,Transportation,On Road,Light-Duty Vehicle,Diesel,FT-Diesel
Transportation,Light-Duty Vehicle,LDV,LT,TDI Diesel ICE,-,Bio-D,Transportation,On Road,Light-Duty Vehicle,Diesel,Biodiesel
Transportation,Light-Duty Vehicle,LDV,LT,CNG,-,CNG,Transportation,On Road,Light-Duty Vehicle,Compressed Natural Gas,U.S. Average Mix
Transportation,Light-Duty Vehicle,LDV,LT,Hybrid,-,Gasoline,Transportation,On Road,Light-Duty Vehicle,Motor Gasoline,Petroleum Gasoline
Transportation,Light-Duty Vehicle,LDV,LT,Hybrid,-,Ethanol,Transportation,On Road,Light-Duty Vehicle,Motor Gasoline,"Ethanol, Conventional"
Transportation,Light-Duty Vehicle,LDV,LT,Hybrid,-,Diesel,Transportation,On Road,Light-Duty Vehicle,Diesel,Petroleum Distillate
Transportation,Light-Duty Vehicle,LDV,LT,Hybrid,-,F-T,Transportation,On Road,Light-Duty Vehicle,Diesel,FT-Diesel
Transportation,Light-Duty Vehicle,LDV,LT,Hybrid,-,Bio-D,Transportation,On Road,Light-Duty Vehicle,Diesel,Biodiesel
Transportation,Light-Duty Vehicle,LDV,LT,Hybrid,-,Electricity,Transportation,On Road,Light-Duty Vehicle,Electricity,U.S. Average Grid Mix
Transportation,Light-Duty Vehicle,LDV,LT,Fuel Cell,-,Hydrogen,Transportation,On Road,Light-Duty Vehicle,Hydrogen,Natural Gas
Transportation,Commercial Light Truck,LDV,Class 2B,ICEV_Gasoline,-,Gasoline,Transportation,On Road,Commercial Light Trucks,Motor Gasoline,Petroleum Gasoline
Transportation,Commercial Light Truck,LDV,Class 2B,ICEV_Gasoline,-,Ethanol,Transportation,On Road,Commercial Light Trucks,Motor Gasoline,"Ethanol, Conventional"
Transportation,Commercial Light Truck,LDV,Class 2B,BEV,-,Electricity,Transportation,On Road,Commercial Light Trucks,Electricity,U.S. Average Grid Mix
Transportation,Commercial Light Truck,LDV,Class 2B,Ethanol,-,Gasoline,Transportation,On Road,Commercial Light Trucks,E85,Petroleum Gasoline
Transportation,Commercial Light Truck,LDV,Class 2B,Ethanol,-,Ethanol,Transportation,On Road,Commercial Light Trucks,E85,"Ethanol, Conventional"
Transportation,Commercial Light Truck,LDV,Class 2B,TDI Diesel ICE,-,Diesel,Transportation,On Road,Commercial Light Trucks,Diesel,Petroleum Distillate
Transportation,Commercial Light Truck,LDV,Class 2B,TDI Diesel ICE,-,F-T,Transportation,On Road,Commercial Light Trucks,Diesel,FT-Diesel
Transportation,Commercial Light Truck,LDV,Class 2B,TDI Diesel ICE,-,Bio-D,Transportation,On Road,Commercial Light Trucks,Diesel,Biodiesel
Transportation,Commercial Light Truck,LDV,Class 2B,CNG,-,CNG,Transportation,On Road,Commercial Light Trucks,Compressed Natural Gas,U.S. Average Mix
Transportation,Commercial Light Truck,LDV,Class 2B,Hybrid,-,Gasoline,Transportation,On Road,Commercial Light Trucks,Motor Gasoline,Petroleum Gasoline
Transportation,Commercial Light Truck,LDV,Class 2B,Hybrid,-,Ethanol,Transportation,On Road,Commercial Light Trucks,Motor Gasoline,"Ethanol, Conventional"
Transportation,Commercial Light Truck,LDV,Class 2B,Hybrid,-,Diesel,Transportation,On Road,Commercial Light Trucks,Diesel,Petroleum Distillate
Transportation,Commercial Light Truck,LDV,Class 2B,Hybrid,-,F-T,Transportation,On Road,Commercial Light Trucks,Diesel,FT-Diesel
Transportation,Commercial Light Truck,LDV,Class 2B,Hybrid,-,Bio-D,Transportation,On Road,Commercial Light Trucks,Diesel,Biodiesel
Transportation,Commercial Light Truck,LDV,Class 2B,Hybrid,-,Electricity,Transportation,On Road,Commercial Light Trucks,Electricity,U.S. Average Grid Mix
Transportation,Commercial Light Truck,LDV,Class 2B,Fuel Cell,-,Hydrogen,Transportation,On Road,Commercial Light Trucks,Hydrogen,Natural Gas
Transportation,Freight Trucks,MDV,Light Medium,-,Gasoline ICE,Gasoline,Transportation,On Road,Freight Trucks,Motor Gasoline,Petroleum Gasoline
Transportation,Freight Trucks,MDV,Light Medium,-,Gasoline ICE,Ethanol,Transportation,On Road,Freight Trucks,Motor Gasoline,"Ethanol, Conventional"
