,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Generation Type,Year,Energy Unit,Electricity Production
0,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2022,BkWh,12.87161106385983
1,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2022,BkWh,791.1450919618682
2,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2022,BkWh,257.46743144321846
3,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2022,BkWh,0.0
4,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Geothermal,Geothermal,2022,BkWh,14.54751278374069
5,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Municipal Waste,Other,2022,BkWh,0.4970967621554631
6,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Natural Gas,Natural Gas,2022,BkWh,1571.3299228696742
7,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Nuclear,Nuclear,2022,BkWh,719.7399250667858
8,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Offshore Wind,Wind,2022,BkWh,1.351264473967554
9,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other,Other,2022,BkWh,1.51692920945539
10,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Other Gaseous Fuels,Other,2022,BkWh,9.798673332366977
11,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Petroleum,Petroleum,2022,BkWh,10.552961123458648
12,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Pumped Storage and Other,Other,2022,BkWh,0.9666824937814927
13,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Photovoltaic,Solar,2022,BkWh,188.42305928398437
14,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Solar Thermal,Solar,2022,BkWh,2.739631732635845
15,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wind,Wind,2022,BkWh,408.56273613129355
16,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Wood and Other Biomass,Biomass,2022,BkWh,36.883646495138564
17,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Biogenic Municipal Waste,Biomass,2023,BkWh,13.900982707737349
18,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Coal,Coal,2023,BkWh,746.2051657326593
19,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Conventional Hydroelectric Power,Hydroelectric,2023,BkWh,263.33509713873804
20,Reference case,-,Electric Power,-,Electricity Generation,Electricity,Distributed Generation,Other,2023,BkWh,0.0
