,Case,Mitigation Case,Sector,Energy carrier,Formula,Year,Emissions Unit,Energy Unit,CI,Emissions Type,LCIA Method,GWP,timeframe_years,LCIA_estimate
0,Reference case,-,Electric Power,Electricity,CH4,2020,g,mmbtu,12.26746950260761,CH4,AR4,25,100,306.68673756519024
1,Reference case,-,Electric Power,Electricity,CH4,2021,g,mmbtu,14.13964035967601,CH4,AR4,25,100,353.49100899190023
2,Reference case,-,Electric Power,Electricity,CH4,2022,g,mmbtu,14.483520087834883,CH4,AR4,25,100,362.0880021958721
3,Reference case,-,Electric Power,Electricity,CH4,2023,g,mmbtu,12.853573236006437,CH4,AR4,25,100,321.3393309001609
4,Reference case,-,Electric Power,Electricity,CH4,2024,g,mmbtu,11.58240821501499,CH4,AR4,25,100,289.5602053753747
5,Reference case,-,Electric Power,Electricity,CH4,2025,g,mmbtu,10.596484420862161,CH4,AR4,25,100,264.91211052155404
6,Reference case,-,Electric Power,Electricity,CH4,2026,g,mmbtu,10.762389307746226,CH4,AR4,25,100,269.05973269365563
7,Reference case,-,Electric Power,Electricity,CH4,2027,g,mmbtu,10.422656712130857,CH4,AR4,25,100,260.5664178032714
8,Reference case,-,Electric Power,Electricity,CH4,2028,g,mmbtu,10.408793777417458,CH4,AR4,25,100,260.21984443543647
9,Reference case,-,Electric Power,Electricity,CH4,2029,g,mmbtu,10.365113880079624,CH4,AR4,25,100,259.12784700199063
10,Reference case,-,Electric Power,Electricity,CH4,2030,g,mmbtu,10.189530223462512,CH4,AR4,25,100,254.7382555865628
11,Reference case,-,Electric Power,Electricity,CH4,2031,g,mmbtu,9.986248487322161,CH4,AR4,25,100,249.65621218305404
12,Reference case,-,Electric Power,Electricity,CH4,2032,g,mmbtu,9.790741961948275,CH4,AR4,25,100,244.76854904870686
13,Reference case,-,Electric Power,Electricity,CH4,2033,g,mmbtu,9.724347169993415,CH4,AR4,25,100,243.10867924983538
14,Reference case,-,Electric Power,Electricity,CH4,2034,g,mmbtu,9.6481225515883,CH4,AR4,25,100,241.20306378970747
15,Reference case,-,Electric Power,Electricity,CH4,2035,g,mmbtu,9.40260111323725,CH4,AR4,25,100,235.06502783093123
16,Reference case,-,Electric Power,Electricity,CH4,2036,g,mmbtu,9.32242051300153,CH4,AR4,25,100,233.06051282503824
17,Reference case,-,Electric Power,Electricity,CH4,2037,g,mmbtu,9.163536157669421,CH4,AR4,25,100,229.08840394173552
18,Reference case,-,Electric Power,Electricity,CH4,2038,g,mmbtu,8.92285395089375,CH4,AR4,25,100,223.07134877234373
19,Reference case,-,Electric Power,Electricity,CH4,2039,g,mmbtu,8.81193661247781,CH4,AR4,25,100,220.29841531194526
20,Reference case,-,Electric Power,Electricity,CH4,2040,g,mmbtu,8.746137697462121,CH4,AR4,25,100,218.65344243655304
21,Reference case,-,Electric Power,Electricity,CH4,2041,g,mmbtu,8.642759773633818,CH4,AR4,25,100,216.06899434084545
22,Reference case,-,Electric Power,Electricity,CH4,2042,g,mmbtu,8.581947588123814,CH4,AR4,25,100,214.54868970309536
23,Reference case,-,Electric Power,Electricity,CH4,2043,g,mmbtu,8.449566538581356,CH4,AR4,25,100,211.2391634645339
24,Reference case,-,Electric Power,Electricity,CH4,2044,g,mmbtu,8.3353962549693,CH4,AR4,25,100,208.38490637423251
25,Reference case,-,Electric Power,Electricity,CH4,2045,g,mmbtu,8.142631570979276,CH4,AR4,25,100,203.56578927448192
26,Reference case,-,Electric Power,Electricity,CH4,2046,g,mmbtu,8.041637184609934,CH4,AR4,25,100,201.04092961524836
27,Reference case,-,Electric Power,Electricity,CH4,2047,g,mmbtu,7.965690750482635,CH4,AR4,25,100,199.14226876206587
28,Reference case,-,Electric Power,Electricity,CH4,2048,g,mmbtu,7.927927080826182,CH4,AR4,25,100,198.19817702065455
29,Reference case,-,Electric Power,Electricity,CH4,2049,g,mmbtu,7.876785954332067,CH4,AR4,25,100,196.91964885830166
30,Reference case,-,Electric Power,Electricity,CH4,2050,g,mmbtu,7.783182433480979,CH4,AR4,25,100,194.57956083702447
31,Reference case,-,Electric Power,Electricity,CO2,2020,g,mmbtu,122228.74504852915,CO2,AR4,1,100,122228.74504852915
32,Reference case,-,Electric Power,Electricity,CO2,2021,g,mmbtu,127323.270492455,CO2,AR4,1,100,127323.270492455
33,Reference case,-,Electric Power,Electricity,CO2,2022,g,mmbtu,128667.68231931535,CO2,AR4,1,100,128667.68231931535
34,Reference case,-,Electric Power,Electricity,CO2,2023,g,mmbtu,119659.96408510007,CO2,AR4,1,100,119659.96408510007
35,Reference case,-,Electric Power,Electricity,CO2,2024,g,mmbtu,110900.3401080708,CO2,AR4,1,100,110900.3401080708
36,Reference case,-,Electric Power,Electricity,CO2,2025,g,mmbtu,105926.43655639976,CO2,AR4,1,100,105926.43655639976
37,Reference case,-,Electric Power,Electricity,CO2,2026,g,mmbtu,107651.23553745398,CO2,AR4,1,100,107651.23553745398
38,Reference case,-,Electric Power,Electricity,CO2,2027,g,mmbtu,105551.8836637524,CO2,AR4,1,100,105551.8836637524
39,Reference case,-,Electric Power,Electricity,CO2,2028,g,mmbtu,104748.35698462254,CO2,AR4,1,100,104748.35698462254
40,Reference case,-,Electric Power,Electricity,CO2,2029,g,mmbtu,104178.19584591947,CO2,AR4,1,100,104178.19584591947
41,Reference case,-,Electric Power,Electricity,CO2,2030,g,mmbtu,102192.68107437313,CO2,AR4,1,100,102192.68107437313
42,Reference case,-,Electric Power,Electricity,CO2,2031,g,mmbtu,100867.06313184724,CO2,AR4,1,100,100867.06313184724
43,Reference case,-,Electric Power,Electricity,CO2,2032,g,mmbtu,99497.25537608757,CO2,AR4,1,100,99497.25537608757
44,Reference case,-,Electric Power,Electricity,CO2,2033,g,mmbtu,98851.74293590218,CO2,AR4,1,100,98851.74293590218
45,Reference case,-,Electric Power,Electricity,CO2,2034,g,mmbtu,98231.40488247742,CO2,AR4,1,100,98231.40488247742
46,Reference case,-,Electric Power,Electricity,CO2,2035,g,mmbtu,96100.26714477854,CO2,AR4,1,100,96100.26714477854
47,Reference case,-,Electric Power,Electricity,CO2,2036,g,mmbtu,95455.31642927778,CO2,AR4,1,100,95455.31642927778
48,Reference case,-,Electric Power,Electricity,CO2,2037,g,mmbtu,94608.03369229619,CO2,AR4,1,100,94608.03369229619
49,Reference case,-,Electric Power,Electricity,CO2,2038,g,mmbtu,93482.80755605997,CO2,AR4,1,100,93482.80755605997
50,Reference case,-,Electric Power,Electricity,CO2,2039,g,mmbtu,93069.87521570918,CO2,AR4,1,100,93069.87521570918
51,Reference case,-,Electric Power,Electricity,CO2,2040,g,mmbtu,92998.14821342181,CO2,AR4,1,100,92998.14821342181
52,Reference case,-,Electric Power,Electricity,CO2,2041,g,mmbtu,92313.4702270258,CO2,AR4,1,100,92313.4702270258
53,Reference case,-,Electric Power,Electricity,CO2,2042,g,mmbtu,92094.6465778302,CO2,AR4,1,100,92094.6465778302
54,Reference case,-,Electric Power,Electricity,CO2,2043,g,mmbtu,91603.32971891796,CO2,AR4,1,100,91603.32971891796
55,Reference case,-,Electric Power,Electricity,CO2,2044,g,mmbtu,91055.70101099285,CO2,AR4,1,100,91055.70101099285
56,Reference case,-,Electric Power,Electricity,CO2,2045,g,mmbtu,89994.51452123543,CO2,AR4,1,100,89994.51452123543
57,Reference case,-,Electric Power,Electricity,CO2,2046,g,mmbtu,89197.42328550598,CO2,AR4,1,100,89197.42328550598
58,Reference case,-,Electric Power,Electricity,CO2,2047,g,mmbtu,88616.51568129692,CO2,AR4,1,100,88616.51568129692
59,Reference case,-,Electric Power,Electricity,CO2,2048,g,mmbtu,88432.61324228742,CO2,AR4,1,100,88432.61324228742
60,Reference case,-,Electric Power,Electricity,CO2,2049,g,mmbtu,88187.03723468838,CO2,AR4,1,100,88187.03723468838
61,Reference case,-,Electric Power,Electricity,CO2,2050,g,mmbtu,87772.31590815079,CO2,AR4,1,100,87772.31590815079
62,Reference case,-,Electric Power,Electricity,N2O,2020,g,mmbtu,2.0570615149258527,N2O,AR4,298,100,613.0043314479041
63,Reference case,-,Electric Power,Electricity,N2O,2021,g,mmbtu,2.329803211428891,N2O,AR4,298,100,694.2813570058095
64,Reference case,-,Electric Power,Electricity,N2O,2022,g,mmbtu,2.37702326115034,N2O,AR4,298,100,708.3529318228013
65,Reference case,-,Electric Power,Electricity,N2O,2023,g,mmbtu,2.1394196588857124,N2O,AR4,298,100,637.5470583479423
66,Reference case,-,Electric Power,Electricity,N2O,2024,g,mmbtu,1.9569951914914696,N2O,AR4,298,100,583.184567064458
