,Case,Mitigation Case,Sector,Energy carrier,Formula,Year,Emissions Unit,Energy Unit,CI,Emissions Type,LCIA Method,GWP,timeframe_years,LCIA_estimate
0,Reference case,-,Electric Power,Electricity,CH4,2022,g,BkWh,12.375790080687802,CH4,AR4,25,100,309.39475201719506
1,Reference case,-,Electric Power,Electricity,CH4,2023,g,BkWh,11.829848189547208,CH4,AR4,25,100,295.7462047386802
2,Reference case,-,Electric Power,Electricity,CH4,2024,g,BkWh,12.066370198388338,CH4,AR4,25,100,301.65925495970845
3,Reference case,-,Electric Power,Electricity,CH4,2025,g,BkWh,11.064143859387968,CH4,AR4,25,100,276.6035964846992
4,Reference case,-,Electric Power,Electricity,CH4,2026,g,BkWh,9.627836322242407,CH4,AR4,25,100,240.69590805606018
5,Reference case,-,Electric Power,Electricity,CH4,2027,g,BkWh,8.321140224782688,CH4,AR4,25,100,208.0285056195672
6,Reference case,-,Electric Power,Electricity,CH4,2028,g,BkWh,7.075020640591537,CH4,AR4,25,100,176.87551601478842
7,Reference case,-,Electric Power,Electricity,CH4,2029,g,BkWh,6.170793337784849,CH4,AR4,25,100,154.2698334446212
8,Reference case,-,Electric Power,Electricity,CH4,2030,g,BkWh,5.638651888782825,CH4,AR4,25,100,140.96629721957063
9,Reference case,-,Electric Power,Electricity,CH4,2031,g,BkWh,5.462943127644163,CH4,AR4,25,100,136.57357819110408
10,Reference case,-,Electric Power,Electricity,CH4,2032,g,BkWh,5.346536928519515,CH4,AR4,25,100,133.66342321298788
11,Reference case,-,Electric Power,Electricity,CH4,2033,g,BkWh,5.387346695173738,CH4,AR4,25,100,134.68366737934346
12,Reference case,-,Electric Power,Electricity,CH4,2034,g,BkWh,5.295812247769376,CH4,AR4,25,100,132.39530619423442
13,Reference case,-,Electric Power,Electricity,CH4,2035,g,BkWh,5.240787546413042,CH4,AR4,25,100,131.01968866032604
14,Reference case,-,Electric Power,Electricity,CH4,2036,g,BkWh,5.154965357168291,CH4,AR4,25,100,128.8741339292073
15,Reference case,-,Electric Power,Electricity,CH4,2037,g,BkWh,5.018862652328164,CH4,AR4,25,100,125.4715663082041
16,Reference case,-,Electric Power,Electricity,CH4,2038,g,BkWh,4.8534727670911195,CH4,AR4,25,100,121.33681917727799
17,Reference case,-,Electric Power,Electricity,CH4,2039,g,BkWh,4.730309147808402,CH4,AR4,25,100,118.25772869521005
18,Reference case,-,Electric Power,Electricity,CH4,2040,g,BkWh,4.609338244376497,CH4,AR4,25,100,115.23345610941243
19,Reference case,-,Electric Power,Electricity,CH4,2041,g,BkWh,4.5824124360778455,CH4,AR4,25,100,114.56031090194614
20,Reference case,-,Electric Power,Electricity,CH4,2042,g,BkWh,4.542935627886553,CH4,AR4,25,100,113.57339069716383
21,Reference case,-,Electric Power,Electricity,CH4,2043,g,BkWh,4.467579433982917,CH4,AR4,25,100,111.68948584957292
22,Reference case,-,Electric Power,Electricity,CH4,2044,g,BkWh,4.299821808178298,CH4,AR4,25,100,107.49554520445746
23,Reference case,-,Electric Power,Electricity,CH4,2045,g,BkWh,4.174996067285428,CH4,AR4,25,100,104.3749016821357
24,Reference case,-,Electric Power,Electricity,CH4,2046,g,BkWh,4.03143963878746,CH4,AR4,25,100,100.7859909696865
25,Reference case,-,Electric Power,Electricity,CH4,2047,g,BkWh,3.9421526578487365,CH4,AR4,25,100,98.5538164462184
26,Reference case,-,Electric Power,Electricity,CH4,2048,g,BkWh,3.8072381512415183,CH4,AR4,25,100,95.18095378103796
27,Reference case,-,Electric Power,Electricity,CH4,2049,g,BkWh,3.7521793090532074,CH4,AR4,25,100,93.80448272633018
28,Reference case,-,Electric Power,Electricity,CH4,2050,g,BkWh,3.6194630056672166,CH4,AR4,25,100,90.48657514168042
29,Reference case,-,Electric Power,Electricity,CO2,2022,g,BkWh,120493.9975848483,CO2,AR4,1,100,120493.9975848483
30,Reference case,-,Electric Power,Electricity,CO2,2023,g,BkWh,114807.40240658424,CO2,AR4,1,100,114807.40240658424
31,Reference case,-,Electric Power,Electricity,CO2,2024,g,BkWh,3734266313.111445,CO2,AR4,1,100,3734266313.111445
32,Reference case,-,Electric Power,Electricity,CO2,2025,g,BkWh,3702391167.383865,CO2,AR4,1,100,3702391167.383865
33,Reference case,-,Electric Power,Electricity,CO2,2026,g,BkWh,3668210857.840923,CO2,AR4,1,100,3668210857.840923
34,Reference case,-,Electric Power,Electricity,CO2,2027,g,BkWh,3638774077.276332,CO2,AR4,1,100,3638774077.276332
35,Reference case,-,Electric Power,Electricity,CO2,2028,g,BkWh,3604793339.329268,CO2,AR4,1,100,3604793339.329268
36,Reference case,-,Electric Power,Electricity,CO2,2029,g,BkWh,3570215589.2926297,CO2,AR4,1,100,3570215589.2926297
37,Reference case,-,Electric Power,Electricity,CO2,2030,g,BkWh,3544921979.3703427,CO2,AR4,1,100,3544921979.3703427
38,Reference case,-,Electric Power,Electricity,CO2,2031,g,BkWh,3516752206.224186,CO2,AR4,1,100,3516752206.224186
39,Reference case,-,Electric Power,Electricity,CO2,2032,g,BkWh,3487892905.9570346,CO2,AR4,1,100,3487892905.9570346
40,Reference case,-,Electric Power,Electricity,CO2,2033,g,BkWh,3462282611.2981825,CO2,AR4,1,100,3462282611.2981825
41,Reference case,-,Electric Power,Electricity,CO2,2034,g,BkWh,3435408005.649877,CO2,AR4,1,100,3435408005.649877
42,Reference case,-,Electric Power,Electricity,CO2,2035,g,BkWh,3403779119.533474,CO2,AR4,1,100,3403779119.533474
43,Reference case,-,Electric Power,Electricity,CO2,2036,g,BkWh,3374225822.403884,CO2,AR4,1,100,3374225822.403884
44,Reference case,-,Electric Power,Electricity,CO2,2037,g,BkWh,3344200391.2782903,CO2,AR4,1,100,3344200391.2782903
45,Reference case,-,Electric Power,Electricity,CO2,2038,g,BkWh,3316534270.899001,CO2,AR4,1,100,3316534270.899001
46,Reference case,-,Electric Power,Electricity,CO2,2039,g,BkWh,3290518263.123398,CO2,AR4,1,100,3290518263.123398
47,Reference case,-,Electric Power,Electricity,CO2,2040,g,BkWh,3263184291.927862,CO2,AR4,1,100,3263184291.927862
48,Reference case,-,Electric Power,Electricity,CO2,2041,g,BkWh,3233012393.555285,CO2,AR4,1,100,3233012393.555285
49,Reference case,-,Electric Power,Electricity,CO2,2042,g,BkWh,3203519918.81543,CO2,AR4,1,100,3203519918.81543
