,AEO Case,Case,GREET Pathway,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Year,Energy Unit,Electricity Production,Scope,Flow Name,Formula,EF_Unit (Numerator),EF_Unit (Denominator),EF_withElec,Total Emissions,Mitigation Case,"Emissions Category, Detailed","Emissions Category, Aggregate"
0,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2050,mmbtu,2001847390.9933197,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,609235106796717.1,-,CO2,CO2
1,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2050,mmbtu,2001847390.9933197,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,97940351875.06702,-,CH4,CH4
2,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2050,mmbtu,2001847390.9933197,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14148094691.14893,-,N2O,N2O
3,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2049,mmbtu,2007307565.6641195,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,610896836913438.4,-,CO2,CO2
4,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2049,mmbtu,2007307565.6641195,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,98207490834.29213,-,CH4,CH4
5,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2049,mmbtu,2007307565.6641195,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14186684579.978745,-,N2O,N2O
6,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2048,mmbtu,1999543404.8768396,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,608533919866061.4,-,CO2,CO2
7,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2048,mmbtu,1999543404.8768396,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,97827629390.83641,-,CH4,CH4
8,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2048,mmbtu,1999543404.8768396,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14131811225.241531,-,N2O,N2O
9,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2047,mmbtu,1989990078.2441397,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,605626494456150.9,-,CO2,CO2
10,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2047,mmbtu,1989990078.2441397,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,97360233036.7518,-,CH4,CH4
11,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2047,mmbtu,1989990078.2441397,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14064292906.700853,-,N2O,N2O
12,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2046,mmbtu,1992837208.8058197,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,606492980033230.1,-,CO2,CO2
13,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2046,mmbtu,1992837208.8058197,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,97499528854.35497,-,CH4,CH4
14,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2046,mmbtu,1992837208.8058197,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14084415056.35419,-,N2O,N2O
15,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2045,mmbtu,2000720910.5058599,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,608892277736335.2,-,CO2,CO2
16,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2045,mmbtu,2000720910.5058599,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,97885238835.07277,-,CH4,CH4
17,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2045,mmbtu,2000720910.5058599,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14140133268.776764,-,N2O,N2O
18,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2044,mmbtu,2042824933.5566397,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,621706066187604.4,-,CO2,CO2
19,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2044,mmbtu,2042824933.5566397,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,99945177495.4834,-,CH4,CH4
20,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2044,mmbtu,2042824933.5566397,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14437704256.296032,-,N2O,N2O
21,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2043,mmbtu,2058969081.57054,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,626619318708072.5,-,CO2,CO2
22,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2043,mmbtu,2058969081.57054,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,100735029681.17873,-,CH4,CH4
23,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2043,mmbtu,2058969081.57054,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14551803330.898941,-,N2O,N2O
24,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2042,mmbtu,2081596165.9231198,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,633505564989414.8,-,CO2,CO2
25,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2042,mmbtu,2081596165.9231198,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,101842059424.48941,-,CH4,CH4
26,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2042,mmbtu,2081596165.9231198,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14711720681.96438,-,N2O,N2O
27,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2041,mmbtu,2080250387.1978598,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,633095995484218.0,-,CO2,CO2
28,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2041,mmbtu,2080250387.1978598,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,101776217221.68665,-,CH4,CH4
29,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2041,mmbtu,2080250387.1978598,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14702209365.105774,-,N2O,N2O
30,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2040,mmbtu,2092512557.1823196,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,636827820634153.6,-,CO2,CO2
31,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2040,mmbtu,2092512557.1823196,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,102376143693.82095,-,CH4,CH4
32,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2040,mmbtu,2092512557.1823196,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14788872485.801012,-,N2O,N2O
33,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2039,mmbtu,2098452772.1811595,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,638635644514983.0,-,CO2,CO2
34,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2039,mmbtu,2098452772.1811595,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,102666768618.48679,-,CH4,CH4
35,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2039,mmbtu,2098452772.1811595,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14830855068.82282,-,N2O,N2O
36,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2038,mmbtu,2115773173.5686998,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,643906873798781.8,-,CO2,CO2
37,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2038,mmbtu,2115773173.5686998,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,103514168981.84384,-,CH4,CH4
38,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2038,mmbtu,2115773173.5686998,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,14953267336.622133,-,N2O,N2O
39,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2037,mmbtu,2173127906.4836397,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,661362008985381.5,-,CO2,CO2
40,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2037,mmbtu,2173127906.4836397,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,106320248380.63475,-,CH4,CH4
41,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2037,mmbtu,2173127906.4836397,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,15358623007.547417,-,N2O,N2O
42,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2036,mmbtu,2204228071.4784594,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,670826922458437.5,-,CO2,CO2
43,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2036,mmbtu,2204228071.4784594,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,107841823460.0687,-,CH4,CH4
44,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2036,mmbtu,2204228071.4784594,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,15578424017.972458,-,N2O,N2O
45,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2035,mmbtu,2208031532.7543597,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,671984454319780.0,-,CO2,CO2
46,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2035,mmbtu,2208031532.7543597,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,108027907742.70726,-,CH4,CH4
47,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2035,mmbtu,2208031532.7543597,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,15605305053.224028,-,N2O,N2O
48,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2034,mmbtu,2258260632.2887797,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,687270999616307.9,-,CO2,CO2
49,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2034,mmbtu,2258260632.2887797,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,110485365641.29753,-,CH4,CH4
50,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2034,mmbtu,2258260632.2887797,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,15960300174.061634,-,N2O,N2O
51,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2033,mmbtu,2263401126.9751196,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,688835439464875.0,-,CO2,CO2
52,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2033,mmbtu,2263401126.9751196,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,110736864262.34987,-,CH4,CH4
53,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2033,mmbtu,2263401126.9751196,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,15996630718.492195,-,N2O,N2O
54,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2032,mmbtu,2267414721.4807796,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,690056922525120.2,-,CO2,CO2
55,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2032,mmbtu,2267414721.4807796,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,110933229309.92381,-,CH4,CH4
56,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2032,mmbtu,2267414721.4807796,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,16024996874.360739,-,N2O,N2O
57,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2031,mmbtu,2309344015.6664395,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,702817534615753.2,-,CO2,CO2
58,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2031,mmbtu,2309344015.6664395,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,112984619363.3779,-,CH4,CH4
59,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2031,mmbtu,2309344015.6664395,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,16321332962.286701,-,N2O,N2O
60,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2030,mmbtu,2350757865.1594195,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,715421278104011.5,-,CO2,CO2
61,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2030,mmbtu,2350757865.1594195,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,115010791293.41245,-,CH4,CH4
62,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2030,mmbtu,2350757865.1594195,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,16614026134.997002,-,N2O,N2O
63,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2029,mmbtu,2382955353.9054,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,725220147180145.2,-,CO2,CO2
64,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2029,mmbtu,2382955353.9054,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,116586052919.97932,-,CH4,CH4
65,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2029,mmbtu,2382955353.9054,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,16841582502.003227,-,N2O,N2O
66,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2028,mmbtu,2376614239.7536798,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,723290315078650.0,-,CO2,CO2
67,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2028,mmbtu,2376614239.7536798,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,116275814010.61308,-,CH4,CH4
68,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2028,mmbtu,2376614239.7536798,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,16796766556.557253,-,N2O,N2O
69,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2027,mmbtu,2359732851.1228194,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,718152693373982.6,-,CO2,CO2
70,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2027,mmbtu,2359732851.1228194,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,115449892339.41824,-,CH4,CH4
71,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2027,mmbtu,2359732851.1228194,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,16677457019.805311,-,N2O,N2O
72,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2026,mmbtu,2444435729.1793194,"Electricity, Combustion",Carbon dioxide,CO2,g,MMBtu,304336.4392,743930865671689.6,-,CO2,CO2
73,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2026,mmbtu,2444435729.1793194,"Electricity, Combustion",Methane,CH4,g,MMBtu,48.92498415,119593979305.7919,-,CH4,CH4
74,Reference case,Reference case,Coal-Fired Power Plant,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,2026,mmbtu,2444435729.1793194,"Electricity, Combustion",Nitrous oxide,N2O,g,MMBtu,7.06751911,17276096229.141624,-,N2O,N2O
