,Case,Mitigation Case,Sector,Subsector,End Use Application,Energy carrier,Energy carrier type,Basis,Fuel Pool,Generation Type,Scope,Formula,"Emissions Category, Detailed","Emissions Category, Aggregate",Year,EF_Unit (Numerator),Total Emissions
0,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2050,g,76451012.33304362
1,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2050,g,12290.229117741525
2,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2050,g,1775.400251323672
3,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2049,g,79376577.21952248
4,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2049,g,12760.541565626585
5,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2049,g,1843.3398178017644
6,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2048,g,79871606.91515149
7,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CH4,CH4,CH4,2048,g,12840.122308820182
8,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",N2O,N2O,N2O,2048,g,1854.835752508342
9,Reference case,-,Electric Power,Electric Power Sector,Electricity Generation,Electricity,Coal,Energy supply,Electricity,Coal,"Electricity, Combustion",CO2,CO2,CO2,2047,g,82949883.26177432
