,Year,Sector,Formula,EF_Unit (Numerator),Total Emissions,End Use Application,Energy carrier,Case,Mitigation Case
0,2020,Electric Power,CH4,g,158224308672.29022,Electricity Generation,Electricity,Reference case,-
1,2020,Electric Power,CO2,g,1576491278912433.0,Electricity Generation,Electricity,Reference case,-
2,2020,Electric Power,N2O,g,26531725717.86974,Electricity Generation,Electricity,Reference case,-
3,2020,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
4,2021,Electric Power,CH4,g,183645501643.86154,Electricity Generation,Electricity,Reference case,-
5,2021,Electric Power,CO2,g,1653673310334446.8,Electricity Generation,Electricity,Reference case,-
6,2021,Electric Power,N2O,g,30259459831.419792,Electricity Generation,Electricity,Reference case,-
7,2021,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
8,2022,Electric Power,CH4,g,192351182056.2705,Electricity Generation,Electricity,Reference case,-
9,2022,Electric Power,CO2,g,1708795972006053.2,Electricity Generation,Electricity,Reference case,-
10,2022,Electric Power,N2O,g,31568515891.48922,Electricity Generation,Electricity,Reference case,-
11,2022,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
12,2023,Electric Power,CH4,g,172987527595.79776,Electricity Generation,Electricity,Reference case,-
13,2023,Electric Power,CO2,g,1610422328422873.8,Electricity Generation,Electricity,Reference case,-
14,2023,Electric Power,N2O,g,28792998684.89107,Electricity Generation,Electricity,Reference case,-
15,2023,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
16,2024,Electric Power,CH4,g,157769600969.252,Electricity Generation,Electricity,Reference case,-
17,2024,Electric Power,CO2,g,1510627330810410.5,Electricity Generation,Electricity,Reference case,-
18,2024,Electric Power,N2O,g,26657180849.496983,Electricity Generation,Electricity,Reference case,-
19,2024,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
20,2025,Electric Power,CH4,g,146368147584.50388,Electricity Generation,Electricity,Reference case,-
21,2025,Electric Power,CO2,g,1463150954901912.0,Electricity Generation,Electricity,Reference case,-
22,2025,Electric Power,N2O,g,25059037230.28427,Electricity Generation,Electricity,Reference case,-
23,2025,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
24,2026,Electric Power,CH4,g,149700467787.82803,Electricity Generation,Electricity,Reference case,-
25,2026,Electric Power,CO2,g,1497385000400927.2,Electricity Generation,Electricity,Reference case,-
26,2026,Electric Power,N2O,g,25589519565.334785,Electricity Generation,Electricity,Reference case,-
27,2026,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
28,2027,Electric Power,CH4,g,145800779924.31607,Electricity Generation,Electricity,Reference case,-
29,2027,Electric Power,CO2,g,1476547427945505.5,Electricity Generation,Electricity,Reference case,-
30,2027,Electric Power,N2O,g,25071073765.857643,Electricity Generation,Electricity,Reference case,-
31,2027,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
32,2028,Electric Power,CH4,g,146436291399.47943,Electricity Generation,Electricity,Reference case,-
33,2028,Electric Power,CO2,g,1473654032832866.5,Electricity Generation,Electricity,Reference case,-
34,2028,Electric Power,N2O,g,25177659016.159706,Electricity Generation,Electricity,Reference case,-
35,2028,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
36,2029,Electric Power,CH4,g,146792886887.9611,Electricity Generation,Electricity,Reference case,-
37,2029,Electric Power,CO2,g,1475393159779199.5,Electricity Generation,Electricity,Reference case,-
38,2029,Electric Power,N2O,g,25258386821.927895,Electricity Generation,Electricity,Reference case,-
39,2029,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
40,2030,Electric Power,CH4,g,145147110093.4122,Electricity Generation,Electricity,Reference case,-
41,2030,Electric Power,CO2,g,1455707182308410.2,Electricity Generation,Electricity,Reference case,-
42,2030,Electric Power,N2O,g,25098465410.779285,Electricity Generation,Electricity,Reference case,-
43,2030,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
44,2031,Electric Power,CH4,g,143397311984.92386,Electricity Generation,Electricity,Reference case,-
45,2031,Electric Power,CO2,g,1448398338904051.0,Electricity Generation,Electricity,Reference case,-
46,2031,Electric Power,N2O,g,24895234308.066326,Electricity Generation,Electricity,Reference case,-
47,2031,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
48,2032,Electric Power,CH4,g,141509350388.65378,Electricity Generation,Electricity,Reference case,-
49,2032,Electric Power,CO2,g,1438072010113765.0,Electricity Generation,Electricity,Reference case,-
50,2032,Electric Power,N2O,g,24659263308.71153,Electricity Generation,Electricity,Reference case,-
51,2032,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
52,2033,Electric Power,CH4,g,141553087388.71906,Electricity Generation,Electricity,Reference case,-
53,2033,Electric Power,CO2,g,1438941777964353.5,Electricity Generation,Electricity,Reference case,-
54,2033,Electric Power,N2O,g,24738881196.45738,Electricity Generation,Electricity,Reference case,-
55,2033,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
56,2034,Electric Power,CH4,g,141531740426.8108,Electricity Generation,Electricity,Reference case,-
57,2034,Electric Power,CO2,g,1440991407732380.2,Electricity Generation,Electricity,Reference case,-
58,2034,Electric Power,N2O,g,24791556505.710644,Electricity Generation,Electricity,Reference case,-
59,2034,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
60,2035,Electric Power,CH4,g,139098732392.5555,Electricity Generation,Electricity,Reference case,-
61,2035,Electric Power,CO2,g,1421673128684104.5,Electricity Generation,Electricity,Reference case,-
62,2035,Electric Power,N2O,g,24495076063.72304,Electricity Generation,Electricity,Reference case,-
63,2035,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
64,2036,Electric Power,CH4,g,139157147346.35446,Electricity Generation,Electricity,Reference case,-
65,2036,Electric Power,CO2,g,1424875601225704.8,Electricity Generation,Electricity,Reference case,-
66,2036,Electric Power,N2O,g,24553530786.56255,Electricity Generation,Electricity,Reference case,-
67,2036,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
68,2037,Electric Power,CH4,g,138049208201.5792,Electricity Generation,Electricity,Reference case,-
69,2037,Electric Power,CO2,g,1425275561312515.5,Electricity Generation,Electricity,Reference case,-
70,2037,Electric Power,N2O,g,24445481374.37322,Electricity Generation,Electricity,Reference case,-
71,2037,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
72,2038,Electric Power,CH4,g,135728770086.18979,Electricity Generation,Electricity,Reference case,-
73,2038,Electric Power,CO2,g,1422000916255844.0,Electricity Generation,Electricity,Reference case,-
74,2038,Electric Power,N2O,g,24142665642.469448,Electricity Generation,Electricity,Reference case,-
75,2038,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
76,2039,Electric Power,CH4,g,135323555390.24763,Electricity Generation,Electricity,Reference case,-
77,2039,Electric Power,CO2,g,1429259760684436.2,Electricity Generation,Electricity,Reference case,-
78,2039,Electric Power,N2O,g,24118472990.17503,Electricity Generation,Electricity,Reference case,-
79,2039,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
80,2040,Electric Power,CH4,g,135500067854.97737,Electricity Generation,Electricity,Reference case,-
81,2040,Electric Power,CO2,g,1440779442217382.8,Electricity Generation,Electricity,Reference case,-
82,2040,Electric Power,N2O,g,24182973811.67067,Electricity Generation,Electricity,Reference case,-
83,2040,Electric Power,SF6,g,200000000.0,Electricity Generation,Electricity,Reference case,-
84,2041,Electric Power,CH4,g,135216882172.88484,Electricity Generation,Electricity,Reference case,-
85,2041,Electric Power,CO2,g,1444253913516990.2,Electricity Generation,Electricity,Reference case,-
