,Case,Mitigation Case,Sector,Energy carrier,Formula,Year,EF_Unit (Numerator),Total Emissions
0,Reference case,-,Electric Power,Electricity,CH4,2022,g,49854.560687255376
1,Reference case,-,Electric Power,Electricity,CO2,2022,g,485397318.1411595
2,Reference case,-,Electric Power,Electricity,N2O,2022,g,7868.10105970449
3,Reference case,-,Electric Power,Electricity,CH4,2023,g,47126.504778658804
4,Reference case,-,Electric Power,Electricity,CO2,2023,g,457357652.5622671
5,Reference case,-,Electric Power,Electricity,N2O,2023,g,7485.624138125185
6,Reference case,-,Electric Power,Electricity,CH4,2024,g,48693.273931621436
7,Reference case,-,Electric Power,Electricity,CO2,2024,g,15069457469674.557
8,Reference case,-,Electric Power,Electricity,N2O,2024,g,1000007698.9356838
9,Reference case,-,Electric Power,Electricity,SF6,2024,g,200000000.0
10,Reference case,-,Electric Power,Electricity,CH4,2025,g,45033.144202086805
11,Reference case,-,Electric Power,Electricity,CO2,2025,g,15069427644133.422
12,Reference case,-,Electric Power,Electricity,N2O,2025,g,1000007175.0079356
13,Reference case,-,Electric Power,Electricity,SF6,2025,g,200000000.0
14,Reference case,-,Electric Power,Electricity,CH4,2026,g,39552.14131068007
15,Reference case,-,Electric Power,Electricity,CO2,2026,g,15069387279831.055
16,Reference case,-,Electric Power,Electricity,N2O,2026,g,1000006389.7344704
17,Reference case,-,Electric Power,Electricity,SF6,2026,g,200000000.0
18,Reference case,-,Electric Power,Electricity,CH4,2027,g,34460.546175972755
19,Reference case,-,Electric Power,Electricity,CO2,2027,g,15069346114424.893
20,Reference case,-,Electric Power,Electricity,N2O,2027,g,1000005664.9619274
21,Reference case,-,Electric Power,Electricity,SF6,2027,g,200000000.0
22,Reference case,-,Electric Power,Electricity,CH4,2028,g,29576.088819081815
23,Reference case,-,Electric Power,Electricity,CO2,2028,g,15069311228118.61
24,Reference case,-,Electric Power,Electricity,N2O,2028,g,1000004947.2564967
25,Reference case,-,Electric Power,Electricity,SF6,2028,g,200000000.0
26,Reference case,-,Electric Power,Electricity,CH4,2029,g,26045.890900612696
27,Reference case,-,Electric Power,Electricity,CO2,2029,g,15069285364167.332
28,Reference case,-,Electric Power,Electricity,N2O,2029,g,1000004439.9182049
29,Reference case,-,Electric Power,Electricity,SF6,2029,g,200000000.0
30,Reference case,-,Electric Power,Electricity,CH4,2030,g,23969.597487345458
31,Reference case,-,Electric Power,Electricity,CO2,2030,g,15069267379067.266
32,Reference case,-,Electric Power,Electricity,N2O,2030,g,1000004147.6865331
