,Sector,End Use Application,Year,Energy carrier,Formula,Energy Unit,Emissions Unit,Total Emissions_ref_case,Electricity Production_ref_case,CI_ref_case_elec,Case,Mitigation Case,Total Emissions_mtg_elec,Electricity Production_mtg_elec,CI_elec_mtg,CI_diff_elec_mtg_ref_case
0,Electric Power,Electricity Generation,2020,Electricity,CH4,mmbtu,g,158224308672.29022,12897876667.935272,12.26746950260761,Mitigation,NREL Electric Power Decarb,146587253417.099,12909195718.130527,11.355258423359572,-0.9122110792480385
1,Electric Power,Electricity Generation,2021,Electricity,CH4,mmbtu,g,183645501643.86154,12987989579.111864,14.13964035967601,Mitigation,NREL Electric Power Decarb,198310103249.25452,12998618007.003963,15.256245174864,1.1166048151879906
2,Electric Power,Electricity Generation,2022,Electricity,CH4,mmbtu,g,192351182056.2705,13280692876.439043,14.483520087834883,Mitigation,NREL Electric Power Decarb,123691716374.43309,13079814081.539083,9.456687656517397,-5.0268324313174855
3,Electric Power,Electricity Generation,2023,Electricity,CH4,mmbtu,g,172987527595.79776,13458322010.506117,12.853573236006437,Mitigation,NREL Electric Power Decarb,101980496446.11185,13238539498.153172,7.703304164355783,-5.150269071650653
4,Electric Power,Electricity Generation,2024,Electricity,CH4,mmbtu,g,157769600969.252,13621485103.99811,11.58240821501499,Mitigation,NREL Electric Power Decarb,73154241966.87445,13385632520.689472,5.465131502288275,-6.1172767127267145
5,Electric Power,Electricity Generation,2025,Electricity,CH4,mmbtu,g,146368147584.50388,13812896973.295877,10.596484420862161,Mitigation,NREL Electric Power Decarb,58951061259.29692,13551283913.71615,4.350219627501764,-6.246264793360397
6,Electric Power,Electricity Generation,2026,Electricity,CH4,mmbtu,g,149700467787.82803,13909594190.212128,10.762389307746226,Mitigation,NREL Electric Power Decarb,49385945161.55657,13751962659.514048,3.5911924998858105,-7.171196807860415
7,Electric Power,Electricity Generation,2027,Electricity,CH4,mmbtu,g,145800779924.31607,13988830674.488163,10.422656712130857,Mitigation,NREL Electric Power Decarb,40261163287.75626,14060419970.293833,2.863439596599396,-7.559217115531461
8,Electric Power,Electricity Generation,2028,Electricity,CH4,mmbtu,g,146436291399.47943,14068516922.410578,10.408793777417458,Mitigation,NREL Electric Power Decarb,29721637945.354767,14366833256.353407,2.0687675157788195,-8.340026261638638
9,Electric Power,Electricity Generation,2029,Electricity,CH4,mmbtu,g,146792886887.9611,14162206859.113972,10.365113880079624,Mitigation,NREL Electric Power Decarb,18879842761.383194,14697718472.073124,1.2845424136580417,-9.080571466421583
10,Electric Power,Electricity Generation,2030,Electricity,CH4,mmbtu,g,145147110093.4122,14244730317.320719,10.189530223462512,Mitigation,NREL Electric Power Decarb,8556117125.666288,15008624561.303806,0.570080029033854,-9.619450194428659
11,Electric Power,Electricity Generation,2031,Electricity,CH4,mmbtu,g,143397311984.92386,14359477652.390785,9.986248487322161,Mitigation,NREL Electric Power Decarb,8370334163.1320915,15328456695.435677,0.5460650298620414,-9.440183457460119
12,Electric Power,Electricity Generation,2032,Electricity,CH4,mmbtu,g,141509350388.65378,14453383710.716713,9.790741961948275,Mitigation,NREL Electric Power Decarb,8240862671.109704,15649677637.862339,0.5265835413230506,-9.264158420625224
13,Electric Power,Electricity Generation,2033,Electricity,CH4,mmbtu,g,141553087388.71906,14556564560.49943,9.724347169993415,Mitigation,NREL Electric Power Decarb,7901289233.626648,16029577186.838158,0.49291937906599154,-9.231427790927423
14,Electric Power,Electricity Generation,2034,Electricity,CH4,mmbtu,g,141531740426.8108,14669355583.953632,9.6481225515883,Mitigation,NREL Electric Power Decarb,7921690570.422437,16399500184.558186,0.4830446343652304,-9.16507791722307
15,Electric Power,Electricity Generation,2035,Electricity,CH4,mmbtu,g,139098732392.5555,14793643877.621092,9.40260111323725,Mitigation,NREL Electric Power Decarb,6329387364.560079,16803499258.671177,0.37667079143017784,-9.025930321807072
16,Electric Power,Electricity Generation,2036,Electricity,CH4,mmbtu,g,139157147346.35446,14927147638.564331,9.32242051300153,Mitigation,NREL Electric Power Decarb,6462727794.279215,17238806347.97238,0.3748941582048317,-8.947526354796699
17,Electric Power,Electricity Generation,2037,Electricity,CH4,mmbtu,g,138049208201.5792,15065058491.206903,9.163536157669421,Mitigation,NREL Electric Power Decarb,6501747038.899763,17679422875.30891,0.36775787788752456,-8.795778279781896
18,Electric Power,Electricity Generation,2038,Electricity,CH4,mmbtu,g,135728770086.18979,15211362960.0084,8.92285395089375,Mitigation,NREL Electric Power Decarb,6598309723.5295105,18118034435.734383,0.36418463310322435,-8.558669317790525
19,Electric Power,Electricity Generation,2039,Electricity,CH4,mmbtu,g,135323555390.24763,15356846212.287525,8.81193661247781,Mitigation,NREL Electric Power Decarb,6696510358.0099125,18523980255.23324,0.36150493931335687,-8.450431673164454
20,Electric Power,Electricity Generation,2040,Electricity,CH4,mmbtu,g,135500067854.97737,15492560549.817965,8.746137697462121,Mitigation,NREL Electric Power Decarb,6801419316.348751,18933139288.122375,0.35923357520617794,-8.386904122255944
21,Electric Power,Electricity Generation,2041,Electricity,CH4,mmbtu,g,135216882172.88484,15645104771.439617,8.642759773633818,Mitigation,NREL Electric Power Decarb,6929122299.146066,19342623953.529327,0.35823073000815653,-8.284529043625662
22,Electric Power,Electricity Generation,2042,Electricity,CH4,mmbtu,g,135719605323.10504,15814546049.071836,8.581947588123814,Mitigation,NREL Electric Power Decarb,7090947371.746208,19757484227.822254,0.3588993057001063,-8.223048282423708
23,Electric Power,Electricity Generation,2043,Electricity,CH4,mmbtu,g,135163780003.83884,15996534187.484156,8.449566538581356,Mitigation,NREL Electric Power Decarb,7220128953.270608,20158098579.76851,0.3581750989409797,-8.091391439640377
24,Electric Power,Electricity Generation,2044,Electricity,CH4,mmbtu,g,134798191214.40503,16171779612.042152,8.3353962549693,Mitigation,NREL Electric Power Decarb,7334661121.723518,20557166606.7129,0.3567933880211099,-7.97860286694819
25,Electric Power,Electricity Generation,2045,Electricity,CH4,mmbtu,g,133124025305.0451,16349017408.512676,8.142631570979276,Mitigation,NREL Electric Power Decarb,7286742292.302341,20951552311.983906,0.34779009134012745,-7.794841479639149
26,Electric Power,Electricity Generation,2046,Electricity,CH4,mmbtu,g,132957650281.4911,16533654432.451284,8.041637184609934,Mitigation,NREL Electric Power Decarb,7487408840.991592,21342125803.21896,0.35082769682963316,-7.690809487780301
27,Electric Power,Electricity Generation,2047,Electricity,CH4,mmbtu,g,133183713788.4039,16719669136.080183,7.965690750482635,Mitigation,NREL Electric Power Decarb,7532870522.013734,21735497757.12217,0.3465699569518901,-7.619120793530745
28,Electric Power,Electricity Generation,2048,Electricity,CH4,mmbtu,g,134089479406.70116,16913561141.474007,7.927927080826182,Mitigation,NREL Electric Power Decarb,7517467779.81313,22122512551.29991,0.3398107589443499,-7.588116321881832
29,Electric Power,Electricity Generation,2049,Electricity,CH4,mmbtu,g,134899234029.57745,17126177455.08061,7.876785954332067,Mitigation,NREL Electric Power Decarb,7514211271.309408,22521288371.38507,0.3336492631947628,-7.5431366911373035
30,Electric Power,Electricity Generation,2050,Electricity,CH4,mmbtu,g,135022642296.51846,17347999157.22012,7.783182433480979,Mitigation,NREL Electric Power Decarb,7595749300.242455,22904421973.08087,0.3316280720451969,-7.451554361435782
31,Electric Power,Electricity Generation,2020,Electricity,CO2,mmbtu,g,1576491278912433.0,12897876667.935272,122228.74504852915,Mitigation,NREL Electric Power Decarb,1641662715579607.2,12909195718.130527,127170.02293752102,4941.27788899187
32,Electric Power,Electricity Generation,2021,Electricity,CO2,mmbtu,g,1653673310334446.8,12987989579.111864,127323.270492455,Mitigation,NREL Electric Power Decarb,1793205272145869.0,12998618007.003963,137953.5325355086,10630.26204305359
33,Electric Power,Electricity Generation,2022,Electricity,CO2,mmbtu,g,1708795972006053.2,13280692876.439043,128667.68231931535,Mitigation,NREL Electric Power Decarb,1518228613558730.0,13079814081.539083,116074.17384483818,-12593.508474477174
