,Sector,End Use Application,Year,Energy carrier,Formula,Energy Unit,Emissions Unit,Total Emissions_ref_case,Electricity Production_ref_case,CI_ref_case_elec,Case,Mitigation Case,Total Emissions_mtg_elec,Electricity Production_mtg_elec,CI_elec_mtg,CI_diff_elec_mtg_ref_case
0,Electric Power,Electricity Generation,2022,Electricity,CH4,mmbtu,g,170110740703.41153,13745444904.472507,12.3757900806878,Mitigation,NREL Electric Power Decarb,123739505136.93771,13084867517.185936,9.4566876565174,-2.9191024241704007
1,Electric Power,Electricity Generation,2023,Electricity,CH4,mmbtu,g,160802232015.4528,13592924392.515608,11.829848189547205,Mitigation,NREL Electric Power Decarb,102026402159.0475,13244498721.877983,7.7033041643557825,-4.126544025191422
2,Electric Power,Electricity Generation,2024,Electricity,CH4,mmbtu,g,166148267713.0428,13769531763.183807,12.066370198388343,Mitigation,NREL Electric Power Decarb,73183257610.67807,13390941751.362417,5.4651315022882745,-6.601238696100069
3,Electric Power,Electricity Generation,2025,Electricity,CH4,mmbtu,g,153659392657.7084,13888050861.461626,11.064143859387967,Mitigation,NREL Electric Power Decarb,58984231528.78386,13558908878.046051,4.350219627501764,-6.713924231886202
4,Electric Power,Electricity Generation,2026,Electricity,CH4,mmbtu,g,134957443451.82384,14017421872.871132,9.627836322242404,Mitigation,NREL Electric Power Decarb,49402180881.40292,13756483642.403957,3.59119249988581,-6.036643822356593
5,Electric Power,Electricity Generation,2027,Electricity,CH4,mmbtu,g,117584208028.88362,14130780740.68322,8.321140224782686,Mitigation,NREL Electric Power Decarb,40270972849.662994,14063845766.988962,2.8634395965993957,-5.457700628183291
6,Electric Power,Electricity Generation,2028,Electricity,CH4,mmbtu,g,100917755703.14182,14263952125.333183,7.075020640591538,Mitigation,NREL Electric Power Decarb,29724804856.62265,14368364076.633469,2.0687675157788195,-5.006253124812719
7,Electric Power,Electricity Generation,2029,Electricity,CH4,mmbtu,g,88872226177.6166,14402074630.086279,6.170793337784848,Mitigation,NREL Electric Power Decarb,18883062479.391933,14700224981.764435,1.284542413658042,-4.886250924126806
8,Electric Power,Electricity Generation,2030,Electricity,CH4,mmbtu,g,81787622370.47093,14504818524.650194,5.638651888782825,Mitigation,NREL Electric Power Decarb,8554993926.428207,15006654312.95116,0.570080029033854,-5.068571859748971
9,Electric Power,Electricity Generation,2031,Electricity,CH4,mmbtu,g,79873671168.91379,14620996283.9863,5.462943127644162,Mitigation,NREL Electric Power Decarb,8367449562.702502,15323174173.62629,0.5460650298620414,-4.916878097782121
