,Sector,Year,Energy Unit,Emissions Unit,CI_Reference,CI_Mitigation,baseline_CI,CI_Reference_perc,CI_Mitigation_perc
0,Agriculture,2020,MJ,g,618.0197621636376,616.096776576761,618.0197621636376,0.0,-0.31115276640091394
1,Agriculture,2021,MJ,g,595.8071515780638,582.1643966207382,618.0197621636376,-3.5941586249295985,-5.801653561590422
2,Agriculture,2022,MJ,g,564.4099557434066,534.9442628247265,618.0197621636376,-8.67444856982361,-13.442207583794799
3,Agriculture,2023,MJ,g,553.2842024822233,511.97417168287956,618.0197621636376,-10.474674702113118,-17.158931958664382
4,Agriculture,2024,MJ,g,543.6799576021402,491.45649215908276,618.0197621636376,-12.028709939830991,-20.478838663907275
5,Agriculture,2025,MJ,g,534.6924274489169,470.2944433786029,618.0197621636376,-13.48295634155749,-23.90300890506481
6,Agriculture,2026,MJ,g,527.9300253781792,449.4165426920556,618.0197621636376,-14.577161168772577,-27.28120196048677
7,Agriculture,2027,MJ,g,520.7799371147773,428.9331598083155,618.0197621636376,-15.73409638365469,-30.595559225055368
8,Agriculture,2028,MJ,g,514.9794821575086,409.5397764524349,618.0197621636376,-16.67265131545198,-33.733546801372654
9,Agriculture,2029,MJ,g,509.1532949211473,390.2732909316325,618.0197621636376,-17.615369913311106,-36.851001404013836
10,Agriculture,2030,MJ,g,503.0520485054001,372.27883879996915,618.0197621636376,-18.602595045787005,-39.76263194292512
11,Agriculture,2031,MJ,g,497.14825354810785,357.1976249085573,618.0197621636376,-19.557871125733627,-42.20287978202556
12,Agriculture,2032,MJ,g,490.90759368326763,341.9792482262674,618.0197621636376,-20.567654347388572,-44.665321537773245
13,Agriculture,2033,MJ,g,485.5020533550149,327.27080993250587,618.0197621636376,-21.442309279025125,-47.04525162969595
14,Agriculture,2034,MJ,g,479.56419196328926,311.7616581560499,618.0197621636376,-22.403097550736316,-49.55474286702461
15,Agriculture,2035,MJ,g,473.4513205594199,297.03887703482314,618.0197621636376,-23.392203689101322,-51.936993730602744
16,Agriculture,2036,MJ,g,467.91608528517776,283.12971732017184,618.0197621636376,-24.287844186884715,-54.187594854740986
17,Agriculture,2037,MJ,g,462.37995406882334,269.62807743559074,618.0197621636376,-25.183629654484147,-56.37225636739439
18,Agriculture,2038,MJ,g,456.89484740473284,256.40175540939,618.0197621636376,-26.071158986052374,-58.512369489327
19,Agriculture,2039,MJ,g,451.6626132389978,243.51290015838006,618.0197621636376,-26.91777174604203,-60.59787808307926
20,Agriculture,2040,MJ,g,446.7291919664558,231.00377970353185,618.0197621636376,-27.716034451310623,-62.62194288176058
21,Agriculture,2041,MJ,g,441.7621234828489,218.70244222960153,618.0197621636376,-28.519741515016417,-64.61238691398123
22,Agriculture,2042,MJ,g,436.8797672150678,206.64126156465838,618.0197621636376,-29.309741538751645,-66.56397186374366
23,Agriculture,2043,MJ,g,432.0456294468969,194.84547912524118,618.0197621636376,-30.091939465764035,-68.47261349004394
24,Agriculture,2044,MJ,g,427.21969515185185,183.11575969577393,618.0197621636376,-30.87281001238698,-70.37056565073253
25,Agriculture,2045,MJ,g,422.2998601881358,171.37815084894783,618.0197621636376,-31.668874356105064,-72.26979437535029
26,Agriculture,2046,MJ,g,417.53800922491104,159.6566314423942,618.0197621636376,-32.43937576314,-74.16641971391834
27,Agriculture,2047,MJ,g,412.88270721315195,147.19973085791895,618.0197621636376,-33.1926367908232,-76.18203496558354
28,Agriculture,2048,MJ,g,408.3005547807763,133.97443713197717,618.0197621636376,-33.93406169547899,-78.32198170120913
29,Agriculture,2049,MJ,g,403.73984845168576,118.81956727166163,618.0197621636376,-34.67201646785129,-80.77414760076864
30,Agriculture,2050,MJ,g,399.162016453733,105.41332470652955,618.0197621636376,-35.412742295440715,-82.94337314756959
31,Commercial,2020,MJ,g,93.85976851579798,95.43619291270137,93.85976851579798,0.0,1.6795528284709715
32,Commercial,2021,MJ,g,96.13590134954315,100.38658863156236,93.85976851579798,2.4250356353287397,6.953799502143264
33,Commercial,2022,MJ,g,97.20957126515562,88.9707812977595,93.85976851579798,3.5689441837839335,-5.208820877515366
34,Commercial,2023,MJ,g,92.32529467612068,82.19423001423544,93.85976851579798,-1.6348578991211016,-12.428688762000363
35,Commercial,2024,MJ,g,87.77599313707101,77.14851838053075,93.85976851579798,-6.481771130410342,-17.80448684193642
